Word,Freq,Rank
the,52,1
you,49,2
or,40,3
to,38,4
of,37,5
this,30,6
and,29,7
project,20,8
a,20,9
for,19,10
etext,19,11
by,18,12
if,18,13
other,17,14
is,15,15
it,14,16
may,14,17
*,12,18
gutenberg,10,19
any,10,20
be,9,21
from,8,22
not,8,23
that,8,24
one,7,25
your,7,26
in,7,27
"""small",7,28
"print!""",7,29
we,6,30
get,6,31
copyright,6,32
our,6,33
do,6,34
"etext,",6,35
no,6,36
each,5,37
with,5,38
have,5,39
give,5,40
all,5,41
"""project",5,42
cd,5,43
can,5,44
distribute,5,45
on,5,46
including,5,47
so,4,48
million,4,49
at,4,50
illinois,4,51
benedictine,4,52
(or,4,53
legal,4,54
public,4,55
domain,4,56
copy,4,57
even,4,58
among,4,59
"things,",4,60
gutenberg-tm,4,61
receive,4,62
money,4,63
within,4,64
person,4,65
received,4,66
medium,4,67
as,4,68
form,4,69
but,4,70
etexts,3,71
following,3,72
(3),3,73
files,3,74
information,3,75
about,3,76
per,3,77
computer,3,78
than,3,79
are,3,80
these,3,81
ftp,3,82
also,3,83
most,3,84
copies,3,85
statement.,3,86
refund,3,87
paid,3,88
days,3,89
"etexts,",3,90
association,3,91
states,3,92
under,3,93
limited,3,94
replacement,3,95
[1],3,96
"damages,",3,97
[2],3,98
such,3,99
warranties,3,100
[*],3,101
characters,3,102
equivalent,3,103
"gutenberg,",2,104
william,2,105
book,2,106
has,2,107
been,2,108
some,2,109
produce,2,110
dollars,2,111
hour,2,112
how,2,113
long,2,114
take,2,115
hundred,2,116
text,2,117
year,2,118
will,2,119
2001.,2,120
donations,2,121
more,2,122
should,2,123
made,2,124
tax,2,125
please,2,126
when,2,127
email,2,128
michael,2,129
s.,2,130
send,2,131
an,2,132
program,2,133
directly,2,134
.,2,135
[to,2,136
files],2,137
mget,2,138
small,2,139
statement,2,140
they,2,141
us,2,142
wrong,2,143
got,2,144
free,2,145
disclaims,2,146
liability,2,147
use,2,148
read,2,149
using,2,150
indicate,2,151
agree,2,152
(if,2,153
any),2,154
sending,2,155
request,2,156
receiving,2,157
from.,2,158
physical,2,159
must,2,160
return,2,161
united,2,162
"work,",2,163
(and,2,164
without,2,165
"below,",2,166
apply,2,167
project's,2,168
contain,2,169
"medium,",2,170
"fees,",2,171
"liability,",2,172
choose,2,173
alternatively,2,174
"electronically,",2,175
disclaimers,2,176
its,2,177
"expense,",2,178
distribution,2,179
[3],2,180
only,2,181
proprietary,2,182
word,2,183
hypertext,2,184
"software,",2,185
intended,2,186
used,2,187
additional,2,188
plain,2,189
ebcdic,2,190
fee,2,191
derive,2,192
don't,2,193
royalty,2,194
/,2,195
selections,1,196
http://gutenberg.net/,1,197
corpus,1,198
contains,1,199
authors:,1,200
jane,1,201
austen,1,202
blake,1,203
(2),1,204
thornton,1,205
w.,1,206
burgess,1,207
sarah,1,208
cone,1,209
bryant,1,210
lewis,1,211
carroll,1,212
g.,1,213
k.,1,214
chesterton,1,215
maria,1,216
edgeworth,1,217
king,1,218
james,1,219
bible,1,220
herman,1,221
melville,1,222
john,1,223
milton,1,224
shakespeare,1,225
walt,1,226
whitman,1,227
beginning,1,228
body,1,229
could,1,230
identified,1,231
"automatically,",1,232
semi-generic,1,233
header,1,234
file,1,235
"removed,",1,236
included,1,237
below.,1,238
source,1,239
ended,1,240
line,1,241
"""end",1,242
"etext..."",",1,243
deleted.,1,244
(one,1,245
page),1,246
two,1,247
work.,1,248
fifty,1,249
hours,1,250
conservative,1,251
estimate,1,252
"selected,",1,253
"entered,",1,254
"proofread,",1,255
"edited,",1,256
searched,1,257
"analyzed,",1,258
letters,1,259
"written,",1,260
etc.,1,261
projected,1,262
audience,1,263
readers.,1,264
value,1,265
nominally,1,266
estimated,1,267
"dollar,",1,268
then,1,269
2,1,270
"we,",1,271
four,1,272
month:,1,273
thus,1,274
upping,1,275
productivity,1,276
million.,1,277
goal,1,278
away,1,279
trillion,1,280
december,1,281
"31,",1,282
"[10,000",1,283
x,1,284
"100,000,000=trillion]",1,285
ten,1,286
thousand,1,287
titles,1,288
"readers,",1,289
which,1,290
10%,1,291
expected,1,292
number,1,293
users,1,294
end,1,295
need,1,296
ever!,1,297
