Word,Freq,Rank
the,3304,1
to,2746,2
and,2716,3
of,2528,4
a,1574,5
in,1353,6
was,1277,7
had,1164,8
she,1114,9
her,1012,10
i,986,11
be,919,12
he,915,13
not,891,14
that,829,15
it,813,16
as,804,17
for,674,18
his,648,19
with,620,20
but,612,21
have,580,22
at,529,23
you,487,24
been,484,25
all,475,26
could,434,27
very,425,28
they,424,29
were,416,30
by,410,31
which,394,32
is,374,33
on,370,34
would,341,35
so,323,36
anne,298,37
captain,297,38
no,296,39
their,292,40
from,289,41
mrs,289,42
or,270,43
him,267,44
mr,246,45
an,243,46
than,243,47
more,239,48
there,234,49
must,221,50
when,221,51
being,216,52
one,212,53
this,210,54
only,209,55
my,209,56
such,208,57
lady,200,58
any,196,59
if,193,60
much,190,61
what,184,62
should,181,63
who,178,64
little,166,65
might,160,66
do,158,67
them,153,68
will,150,69
never,149,70
good,145,71
we,143,72
own,141,73
sir,137,74
said,137,75
are,135,76
think,133,77
did,133,78
some,132,79
elliot,125,80
great,122,81
your,122,82
am,121,83
most,118,84
miss,118,85
nothing,115,86
"""i",114,87
how,113,88
see,113,89
though,111,90
quite,110,91
always,109,92
charles,107,93
without,106,94
soon,105,95
wentworth,104,96
other,103,97
every,101,98
"anne,",100,99
first,100,100
now,100,101
me,99,102
has,98,103
two,97,104
can,97,105
into,95,106
too,95,107
after,94,108
made,94,109
time,94,110
herself,92,111
seemed,91,112
having,87,113
make,86,114
well,86,115
may,86,116
about,85,117
out,85,118
know,84,119
"her,",82,120
before,82,121
thought,81,122
"him,",81,123
many,80,124
young,79,125
walter,78,126
"it,",77,127
father,76,128
same,76,129
felt,76,130
like,74,131
long,74,132
russell,73,133
better,73,134
its,72,135
up,71,136
found,71,137
even,71,138
those,71,139
give,69,140
ever,69,141
"elliot,",68,142
last,68,143
her.,68,144
mary,67,145
it.,66,146
still,65,147
while,65,148
go,65,149
upon,65,150
musgrove,65,151
man,63,152
just,63,153
"however,",62,154
louisa,62,155
him.,60,156
our,60,157
almost,59,158
few,59,159
half,59,160
came,59,161
rather,58,162
something,57,163
going,57,164
come,56,165
wish,56,166
house,55,167
between,55,168
knew,55,169
himself,54,170
enough,54,171
heard,54,172
"wentworth,",54,173
over,53,174
down,53,175
feelings,53,176
shall,53,177
elizabeth,52,178
another,52,179
back,52,180
again,51,181
seen,51,182
"you,",51,183
present,50,184
take,49,185
anne's,49,186
till,49,187
kellynch,48,188
them.,48,189
done,48,190
saw,48,191
these,47,192
hope,47,193
say,47,194
years,46,195
poor,46,196
"them,",45,197
left,45,198
"was,",45,199
admiral,45,200
known,44,201
way,44,202
where,44,203
bath,44,204
friend,44,205
cried,44,206
sure,44,207
then,43,208
happy,43,209
look,43,210
here,43,211
really,42,212
leave,42,213
under,42,214
cannot,42,215
"again,",41,216
old,41,217
yet,41,218
off,41,219
anything,41,220
henrietta,41,221
hardly,40,222
perfectly,40,223
"mary,",39,224
away,39,225
near,39,226
ought,39,227
deal,39,228
among,39,229
home,39,230
each,39,231
feel,39,232
party,39,233
day,38,234
nor,38,235
"herself,",38,236
does,38,237
family,38,238
everything,38,239
looked,38,240
"and,",37,241
place,37,242
since,37,243
dear,37,244
believe,37,245
best,36,246
whole,36,247
part,36,248
certainly,36,249
sort,36,250
harville,36,251
elliot's,35,252
next,35,253
seeing,35,254
get,35,255
clay,35,256
hear,35,257
three,34,258
gone,34,259
whom,34,260
moment,34,261
uppercross,34,262
benwick,34,263
"charles,",33,264
mind,33,265
either,33,266
both,33,267
"time,",33,268
received,32,269
"man,",32,270
glad,32,271
visit,32,272
"""oh!",32,273
towards,32,274
tell,32,275
brought,32,276
"musgrove,",31,277
woman,31,278
"say,",31,279
her;,31,280
once,31,281
interest,30,282
"russell,",30,283
given,30,284
far,30,285
set,30,286
able,30,287
put,30,288
pleasure,30,289
course,30,290
him;,30,291
whether,30,292
sister,30,293
began,30,294
evening,30,295
"smith,",30,296
fine,29,297
called,29,298
passed,29,299
people,29,300
acquaintance,29,301
russell's,29,302
talked,29,303
"perhaps,",29,304
gave,29,305
coming,29,306
least,29,307
it;,29,308
general,29,309
camden,29,310
thing,28,311
strong,28,312
"indeed,",28,313
idea,28,314
obliged,28,315
through,28,316
love,28,317
"""you",28,318
former,28,319
full,28,320
want,28,321
determined,28,322
right,28,323
room,28,324
looking,27,325
"place,",27,326
walked,27,327
"me,",27,328
"walter,",26,329
thinking,26,330
"home,",26,331
"all,",26,332
state,26,333
against,26,334
replied,26,335
"""but",26,336
"""and",26,337
went,26,338
wentworth's,26,339
manner,26,340
you.,26,341
me.,26,342
heart,26,343
letter,26,344
again.,25,345
eyes,25,346
neither,25,347
wanted,25,348
change,25,349
spirits,25,350
let,25,351
assure,25,352
"know,",25,353
us,25,354
agreeable,25,355
lyme,25,356
chapter,24,357
beginning,24,358
end,24,359
new,24,360
character,24,361
met,24,362
name,24,363
"house,",24,364
worth,24,365
"now,",24,366
possible,24,367
side,24,368
others,24,369
often,24,370
short,24,371
because,24,372
morning,24,373
told,24,374
"he,",24,375
"well,",24,376
elliot.,24,377
considered,23,378
object,23,379
making,23,380
taking,23,381
less,23,382
taken,23,383
"bath,",23,384
wished,23,385
likely,23,386
company,23,387
account,23,388
"louisa,",23,389
"too,",23,390
hayter,23,391
"there,",22,392
"family,",22,393
"uppercross,",22,394
sensible,22,395
real,22,396
pretty,22,397
immediately,22,398
"sister,",22,399
use,22,400
acquainted,22,401
walk,22,402
"together,",22,403
spoke,22,404
talk,22,405
bad,22,406
"morning,",22,407
"""it",22,408
return,22,409
understand,22,410
turned,21,411
excellent,21,412
whose,21,413
"friend,",21,414
marry,21,415
"acquaintance,",21,416
got,21,417
"mind,",21,418
"room,",21,419
croft,21,420
feeling,21,421
musgroves,21,422
colonel,21,423
smith,21,424
usual,20,425
high,20,426
appearance,20,427
"life,",20,428
help,20,429
"himself,",20,430
different,20,431
early,20,432
father's,20,433
spoken,20,434
manners,20,435
"no,",20,436
"said,",20,437
meet,20,438
find,20,439
need,20,440
asked,20,441
crofts,20,442
forward,20,443
"harville,",20,444
"elizabeth,",19,445
year,19,446
person,19,447
giving,19,448
anne.,19,449
"therefore,",19,450
doing,19,451
walking,19,452
knowledge,19,453
consequence,19,454
regard,19,455
"short,",19,456
point,19,457
"""that",19,458
themselves,19,459
men,19,460
speak,19,461
talking,19,462
mean,19,463
bear,19,464
call,19,465
"lyme,",19,466
took,18,467
mother,18,468
life,18,469
within,18,470
"be,",18,471
longer,18,472
degree,18,473
living,18,474
herself.,18,475
beyond,18,476
advantage,18,477
particularly,18,478
sorry,18,479
happiness,18,480
"away,",18,481
used,18,482
bath.,18,483
sight,18,484
attention,18,485
finding,18,486
"henrietta,",18,487
walter's,17,488
"woman,",17,489
head,17,490
influence,17,491
"other,",17,492
generally,17,493
face,17,494
satisfied,17,495
away.,17,496
reason,17,497
friends,17,498
disposed,17,499
"that,",17,500
surprise,17,501
hours,17,502
"""the",17,503
"sure,",17,504
worse,17,505
hour,17,506
musgrove's,17,507
minutes,17,508
wentworth.,17,509
"but,",17,510
dalrymple,17,511
mary's,16,512
second,16,513
wife,16,514
extremely,16,515
"then,",16,516
nobody,16,517
word,16,518
rest,16,519
large,16,520
sometimes,16,521
equal,16,522
suppose,16,523
"over,",16,524
kept,16,525
means,16,526
small,16,527
lived,16,528
value,16,529
anxious,16,530
else,16,531
days,16,532
doubt,16,533
shepherd,16,534
decided,16,535
"which,",16,536
"""a",16,537
perfect,16,538
"so,",16,539
"musgroves,",16,540
things,16,541
ladies,16,542
pleased,16,543
answer,16,544
conversation,16,545
"moment,",16,546
concert,16,547
lost,15,548
women,15,549
delighted,15,550
"had,",15,551
attachment,15,552
ill,15,553
"this,",15,554
"once,",15,555
meant,15,556
afterwards,15,557
taste,15,558
anybody,15,559
sense,15,560
drew,15,561
believed,15,562
"on,",15,563
circumstance,15,564
warm,15,565
understood,15,566
trying,15,567
"""he",15,568
attending,15,569
"afterwards,",15,570
care,15,571
"side,",15,572
perhaps,15,573
natural,15,574
"croft,",15,575
smallest,15,576
eye,15,577
engagement,15,578
"not,",15,579
nearly,15,580
"others,",15,581
meeting,15,582
"""yes,",15,583
turn,15,584
why,15,585
nature,15,586
lyme.,15,587
"benwick,",15,588
wallis,15,589
settled,14,590
handsome,14,591
world,14,592
matter,14,593
children,14,594
engaged,14,595
proper,14,596
kind,14,597
"themselves,",14,598
getting,14,599
keep,14,600
"country,",14,601
"of,",14,602
"admiral,",14,603
caught,14,604
waiting,14,605
completely,14,606
air,14,607
"she,",14,608
saying,14,609
reached,14,610
brother,14,611
allowed,14,612
imagine,14,613
knowing,14,614
sent,14,615
"yet,",14,616
aware,14,617
sit,14,618
opinion,14,619
sat,14,620
