Word,Freq,Rank
the,4073,1
to,4050,2
of,3540,3
and,3283,4
her,2230,5
a,2035,6
in,1899,7
was,1784,8
i,1673,9
she,1504,10
it,1273,11
that,1239,12
be,1237,13
as,1195,14
for,1191,15
not,1188,16
his,1002,17
he,994,18
had,984,19
with,968,20
you,883,21
at,813,22
have,801,23
by,734,24
but,722,25
is,676,26
on,663,27
my,588,28
so,580,29
could,555,30
which,553,31
all,545,32
from,529,33
mrs.,521,34
would,506,35
they,499,36
their,496,37
very,491,38
no,483,39
him,432,40
been,426,41
were,424,42
what,393,43
any,385,44
every,374,45
this,362,46
than,359,47
your,358,48
more,357,49
elinor,349,50
such,347,51
or,343,52
said,342,53
an,340,54
will,336,55
them,304,56
when,285,57
only,283,58
must,279,59
one,262,60
me,261,61
if,260,62
much,258,63
marianne,253,64
do,246,65
who,238,66
should,233,67
"""i",229,68
am,229,69
own,227,70
are,219,71
might,209,72
some,209,73
though,206,74
miss,206,75
did,202,76
has,202,77
"elinor,",199,78
after,199,79
can,190,80
how,189,81
think,189,82
we,188,83
never,184,84
know,172,85
without,170,86
there,169,87
now,169,88
mr.,168,89
may,167,90
"marianne,",165,91
soon,163,92
being,163,93
see,159,94
time,155,95
most,154,96
nothing,154,97
"her,",153,98
before,149,99
thing,142,100
first,141,101
"it,",141,102
colonel,141,103
great,139,104
too,138,105
make,136,106
little,136,107
about,136,108
out,135,109
edward,134,110
its,133,111
made,133,112
two,131,113
other,129,114
ever,129,115
it.,126,116
herself,126,117
dashwood,123,118
good,123,119
lady,122,120
well,121,121
always,121,122
give,120,123
shall,119,124
even,117,125
mother,114,126
into,113,127
sir,112,128
say,111,129
then,110,130
jennings,108,131
sister,107,132
john,105,133
"however,",103,134
thought,100,135
sure,100,136
saw,98,137
young,97,138
left,97,139
"him,",96,140
still,96,141
while,96,142
many,95,143
felt,92,144
up,91,145
quite,91,146
seemed,90,147
"you,",88,148
willoughby,88,149
less,87,150
same,87,151
lucy,87,152
upon,85,153
go,85,154
cannot,84,155
over,84,156
came,84,157
long,83,158
enough,83,159
till,83,160
almost,82,161
really,81,162
last,81,163
tell,81,164
nor,80,165
day,79,166
"herself,",79,167
heart,78,168
few,78,169
where,76,170
"""you",76,171
"jennings,",74,172
like,73,173
"them,",73,174
away,72,175
"me,",72,176
heard,71,177
gave,70,178
dear,70,179
rather,70,180
our,70,181
come,70,182
her.,70,183
cried,70,184
house,69,185
brandon,69,186
mind,68,187
between,68,188
man,68,189
again,67,190
far,65,191
yet,65,192
against,65,193
towards,65,194
kind,65,195
found,65,196
just,65,197
hardly,64,198
both,64,199
middleton,64,200
told,63,201
"dashwood,",62,202
something,62,203
down,62,204
"""and",62,205
whom,61,206
hope,61,207
marianne's,61,208
replied,61,209
wish,61,210
looked,61,211
"willoughby,",61,212
better,60,213
hear,60,214
happy,60,215
whole,59,216
moment,59,217
knew,59,218
"sister,",59,219
these,59,220
therefore,58,221
affection,58,222
within,58,223
ferrars,58,224
present,57,225
believe,57,226
elinor's,57,227
look,57,228
us,57,229
three,56,230
once,56,231
because,56,232
since,56,233
immediately,56,234
"lucy,",56,235
them.,55,236
feel,55,237
least,55,238
myself,55,239
brought,55,240
having,54,241
"time,",54,242
each,54,243
find,54,244
letter,54,245
half,53,246
leave,53,247
poor,53,248
him.,53,249
"mother,",52,250
"""but",52,251
seen,52,252
wished,51,253
"and,",51,254
took,51,255
under,51,256
going,51,257
chapter,50,258
love,50,259
another,50,260
does,50,261
morning,50,262
himself,49,263
feelings,49,264
pleasure,49,265
done,49,266
certainly,49,267
next,49,268
whose,48,269
sister's,48,270
"""that",48,271
reason,48,272
general,47,273
"""it",47,274
behaviour,47,275
often,47,276
barton,47,277
family,46,278
person,46,279
thousand,46,280
given,46,281
"all,",46,282
perhaps,46,283
end,46,284
those,45,285
beyond,45,286
place,45,287
able,45,288
eyes,45,289
way,45,290
"house,",45,291
comfort,44,292
mother's,44,293
known,44,294
visit,44,295
went,44,296
"he,",44,297
neither,43,298
take,43,299
returned,43,300
put,43,301
"edward,",43,302
glad,43,303
speak,43,304
woman,42,305
perfectly,42,306
opinion,41,307
determined,41,308
happiness,40,309
equally,40,310
world,40,311
edward's,40,312
seeing,40,313
room,40,314
whether,40,315
off,40,316
however,40,317
obliged,40,318
palmer,40,319
people,39,320
particular,39,321
want,39,322
acquaintance,39,323
body,39,324
"was,",38,325
it;,38,326
"she,",38,327
called,38,328
regard,38,329
subject,38,330
short,38,331
received,37,332
interest,37,333
rest,37,334
"himself,",37,335
whatever,37,336
"this,",37,337
sat,37,338
old,36,339
"that,",36,340
giving,36,341
dare,36,342
"day,",36,343
continued,36,344
here,36,345
through,36,346
already,35,347
situation,35,348
"therefore,",35,349
"say,",35,350
"now,",35,351
spirits,35,352
farther,35,353
spite,35,354
spent,35,355
ought,35,356
real,35,357
"again,",35,358
entered,35,359
attention,34,360
power,34,361
suppose,34,362
brother,34,363
"said,",34,364
part,34,365
talk,34,366
"know,",34,367
means,33,368
greater,33,369
"well,",33,370
entirely,33,371
passed,33,372
manner,32,373
coming,32,374
four,32,375
"which,",32,376
live,32,377
kindness,32,378
set,32,379
longer,32,380
assure,32,381
sorry,32,382
willoughby's,32,383
town,32,384
years,31,385
deal,31,386
possible,31,387
why,31,388
"indeed,",31,389
engagement,31,390
her;,31,391
call,31,392
doubt,31,393
"room,",31,394
particularly,31,395
hours,31,396
object,31,397
talked,31,398
matter,31,399
sister.,30,400
sisters,30,401
new,30,402
keep,30,403
began,30,404
get,30,405
ready,30,406
evening,30,407
name,30,408
ask,30,409
"brandon,",30,410
marianne.,30,411
"replied,",30,412
account,30,413
"too,",29,414
all.,29,415
together,29,416
side,29,417
either,29,418
kept,29,419
me.,29,420
anxious,29,421
voice,29,422
minutes,29,423
near,29,424
"town,",29,425
jennings's,29,426
settled,28,427
norland,28,428
days,28,429
herself.,28,430
five,28,431
greatest,28,432
engaged,28,433
easily,28,434
instantly,28,435
others,28,436
full,28,437
friend,28,438
you.,28,439
walked,28,440
"man,",27,441
"""he",27,442
let,27,443
manners,27,444
fanny,27,445
wonder,27,446
pleased,27,447
return,27,448
"""no,",27,449
business,27,450
"heart,",26,451
remained,26,452
knowledge,26,453
resolved,26,454
different,26,455
"but,",26,456
turned,26,457
ladies,26,458
assured,26,459
marriage,26,460
"other,",26,461
friends,26,462
likely,26,463
"john,",26,464
surprise,26,465
party,26,466
"""how",26,467
got,26,468
elinor.,26,469
back,26,470
"there,",26,471
conduct,25,472
common,25,473
exactly,25,474
taken,25,475
"it.""",25,476
home,25,477
hearing,25,478
directly,25,479
cottage,25,480
open,25,481
stay,25,482
lucy's,25,483
former,24,484
appeared,24,485
"one,",24,486
convinced,24,487
mean,24,488
understand,24,489
wanted,24,490
acquainted,24,491
scarcely,24,492
believed,24,493
opportunity,24,494
"barton,",24,495
satisfaction,24,496
change,24,497
appearance,24,498
"home,",24,499
pretty,24,500
repeated,24,501
"so,",24,502
else,24,503
sometimes,24,504
"believe,",24,505
taking,24,506
word,24,507
"""we",24,508
"ferrars,",24,509
"street,",24,510
happened,23,511
ten,23,512
married,23,513
invitation,23,514
comfortable,23,515
expect,23,516
"is,",23,517
doing,23,518
allow,23,519
expected,23,520
natural,23,521
seems,23,522
point,23,523
state,23,524
marry,23,525
appear,23,526
brandon's,23,527
round,23,528
declared,23,529
"friends,",23,530
fear,23,531
forced,23,532
suffered,23,533
"park,",22,534
"own,",22,535
attachment,22,536
merely,22,537
immediate,22,538
"brother,",22,539
proper,22,540
husband,22,541
considered,22,542
"family,",22,543
best,22,544
prevent,22,545
small,22,546
"be,",22,547
yourself,22,548
"together,",22,549
exceedingly,22,550
week,22,551
"place,",22,552
countenance,22,553
park,22,554
hour,22,555
dashwoods,22,556
fancy,22,557
certain,22,558
"myself,",22,559
saying,22,560
making,22,561
produced,21,562
children,21,563
sake,21,564
living,21,565
"""yes,",21,566
sense,21,567
expectation,21,568
supposed,21,569
talking,21,570
"then,",21,571
"added,",21,572
"""to",21,573
you;,21,574
fine,21,575
"mind,",21,576
tried,21,577
use,21,578
necessary,21,579
spoke,21,580
"spirits,",21,581
"cottage,",21,582
formed,21,583
curiosity,21,584
reached,21,585
course,21,586
met,21,587
asked,21,588
leaving,21,589
"morning,",21,590
carriage,21,591
usual,21,592
"side,",21,593
"""oh,",21,594
"""if",21,595
constant,20,596
pounds,20,597
wife,20,598
"who,",20,599
dashwood's,20,600
sent,20,601
strong,20,602
fond,20,603
promise,20,604
equal,20,605
favourite,20,606
answer,20,607
large,20,608
anything,20,609
knowing,20,610
serious,20,611
looking,20,612
answered,20,613
judgment,20,614
"before,",20,615
"""my",20,616
"""what",20,617
painful,20,618
conversation,20,619
smallest,20,620
room.,20,621
pain,20,622
silent,20,623
among,20,624
seem,20,625
bear,20,626
fixed,20,627
"away,",20,628
surprised,20,629
"""your",20,630
probably,20,631
low,20,632
"you.""",20,633
confidence,20,634
don't,20,635
care,20,636
robert,20,637
late,19,638
added,19,639
fortune,19,640
eager,19,641
money,19,642
"""well,",19,643
hundred,19,644
life,19,645
worth,19,646
mother.,19,647
house.,19,648
early,19,649
impossible,19,650
wishes,19,651
meet,19,652
afraid,19,653
agreeable,19,654
misery,19,655
months,19,656
sitting,19,657
more.,19,658
"subject,",19,659
meeting,19,660
elinor;,19,661
"life,",18,662
gentleman,18,663
consider,18,664
notice,18,665
arrival,18,666
eldest,18,667
girl,18,668
afterwards,18,669
avoid,18,670
"not,",18,671
idea,18,672
staying,18,673
"world,",18,674
"""do",18,675
attended,18,676
resolution,18,677
become,18,678
unable,18,679
satisfied,18,680
"""is",18,681
"others,",18,682
second,18,683
above,18,684
before.,18,685
character,18,686
unfortunate,18,687
"voice,",18,688
"""she",18,689
"engagement,",18,690
used,18,691
"perhaps,",18,692
"dear,",18,693
desire,17,694
capable,17,695
son,17,696
danger,17,697
advantage,17,698
led,17,699
do.,17,700
need,17,701
melancholy,17,702
affectionate,17,703
day.,17,704
"him.""",17,705
circumstances,17,706
"short,",17,707
effect,17,708
feeling,17,709
favour,17,710
share,17,711
delighted,17,712
chance,17,713
bring,17,714
allowed,17,715
"did,",17,716
joined,17,717
indeed,17,718
thus,17,719
hand,17,720
"do,",17,721
"thing,",17,722
"another,",17,723
berkeley,17,724
disappointment,16,725
earnest,16,726
meant,16,727
cold,16,728
right,16,729
"feelings,",16,730
"kind,",16,731
"present,",16,732
"ever,",16,733
again.,16,734
carried,16,735
time.,16,736
"""oh!",16,737
style,16,738
"more,",16,739
became,16,740
persuaded,16,741
circumstance,16,742
except,16,743
"manner,",16,744
read,16,745
that.,16,746
attempt,16,747
help,16,748
future,16,749
"continued,",16,750
view,16,751
otherwise,16,752
latter,16,753
thoughts,16,754
company,16,755
margaret,16,756
nobody,16,757
silence,16,758
night,16,759
me;,16,760
head,16,761
lost,16,762
necessity,16,763
"hand,",16,764
"letter,",16,765
harley,16,766
lived,15,767
engage,15,768
"child,",15,769
"way,",15,770
quitted,15,771
disposition,15,772
"for,",15,773
themselves,15,774
receive,15,775
whenever,15,776
gone,15,777
aware,15,778
"opinion,",15,779
several,15,780
difference,15,781
turn,15,782
"much,",15,783
admiration,15,784
simple,15,785
unwilling,15,786
"hope,",15,787
respect,15,788
speaking,15,789
conviction,15,790
ferrars's,15,791
letters,15,792
difficulty,15,793
walk,15,794
delight,15,795
door,15,796
"happy,",15,797
world.,15,798
anxiety,15,799
mentioned,15,800
loss,15,801
"middleton,",15,802
during,15,803
"""for",15,804
past,15,805
"you,""",15,806
himself.,15,807
affair,15,808
daughter,15,809
"palmer,",15,810
steele,15,811
estate,14,812
alteration,14,813
society,14,814
seven,14,815
child,14,816
temper,14,817
nature,14,818
"woman,",14,819
highly,14,820
required,14,821
frequently,14,822
treated,14,823
quiet,14,824
"me,""",14,825
"themselves,",14,826
question,14,827
year,14,828
strange,14,829
dashwood.,14,830
breakfast,14,831
exertion,14,832
