Word,Freq,Rank
the,64014,1
and,51313,2
of,34634,3
to,13567,4
that,12784,5
in,12503,6
he,10261,7
shall,9838,8
unto,8987,9
for,8810,10
i,8708,11
his,8450,12
a,8176,13
they,7297,14
be,6854,15
is,6852,16
with,6002,17
not,5883,18
all,5432,19
thou,5202,20
lord,4739,21
it,4698,22
thy,4600,23
was,4454,24
which,4394,25
my,4368,26
but,3952,27
their,3931,28
have,3882,29
ye,3848,30
will,3780,31
from,3641,32
as,3511,33
them,3508,34
him,3166,35
are,2922,36
when,2832,37
upon,2734,38
were,2716,39
this,2601,40
by,2576,41
out,2483,42
god,2303,43
said,2285,44
hath,2242,45
then,2125,46
there,2073,47
"him,",2034,48
into,2012,49
had,1993,50
came,1991,51
man,1978,52
on,1965,53
up,1898,54
son,1894,55
one,1823,56
we,1809,57
king,1794,58
me,1779,59
your,1778,60
before,1766,61
"lord,",1709,62
an,1699,63
"said,",1680,64
against,1664,65
shalt,1616,66
"them,",1607,67
come,1602,68
if,1588,69
children,1588,70
at,1565,71
so,1561,72
her,1533,73
thee,1530,74
also,1518,75
let,1506,76
no,1351,77
even,1333,78
made,1332,79
"saying,",1331,80
went,1328,81
house,1315,82
go,1266,83
every,1236,84
people,1229,85
do,1215,86
"thee,",1211,87
because,1200,88
"me,",1195,89
saith,1167,90
you,1166,91
our,1165,92
now,1163,93
these,1162,94
after,1154,95
land,1143,96
"behold,",1121,97
men,1111,98
or,1107,99
israel,1098,100
therefore,1082,101
o,1065,102
hast,1060,103
day,1059,104
make,1050,105
"god,",1027,106
may,1026,107
what,971,108
she,968,109
over,961,110
who,948,111
did,936,112
among,916,113
put,908,114
thine,904,115
any,900,116
neither,876,117
great,870,118
hand,864,119
give,861,120
take,856,121
brought,853,122
down,848,123
sons,839,124
"you,",835,125
am,833,126
him.,817,127
us,799,128
according,796,129
two,792,130
things,791,131
should,783,132
jesus,777,133
"israel,",767,134
whom,755,135
nor,755,136
took,742,137
forth,736,138
bring,722,139
thus,714,140
know,708,141
lord.,706,142
david,694,143
them.,692,144
set,685,145
yet,669,146
say,660,147
like,658,148
sent,655,149
name,654,150
away,612,151
"it,",601,152
mine,595,153
called,578,154
heard,574,155
own,573,156
word,562,157
god.,556,158
days,554,159
father,551,160
how,541,161
more,529,162
me.,528,163
"people,",527,164
spake,526,165
saw,525,166
holy,522,167
good,511,168
hundred,509,169
cast,497,170
eat,495,171
thee.,495,172
see,485,173
moses,484,174
given,482,175
than,481,176
many,479,177
art,478,178
heart,469,179
gave,464,180
those,463,181
city,450,182
seven,444,183
about,444,184
would,442,185
three,442,186
through,441,187
evil,437,188
time,436,189
might,434,190
it.,427,191
"man,",424,192
other,423,193
speak,416,194
done,414,195
thousand,411,196
pass,409,197
hear,404,198
place,403,199
way,396,200
"pass,",396,201
"house,",395,202
where,392,203
under,386,204
answered,386,205
again,385,206
without,383,207
commanded,377,208
"say,",373,209
judah,373,210
"and,",372,211
first,369,212
words,368,213
offering,367,214
thing,366,215
until,366,216
off,365,217
burnt,360,218
found,356,219
keep,351,220
both,351,221
midst,348,222
toward,346,223
spirit,342,224
israel.,339,225
high,336,226
himself,333,227
years,331,228
none,331,229
earth,328,230
fear,328,231
voice,326,232
him:,325,233
"day,",324,234
five,323,235
thereof,322,236
"yea,",322,237
been,322,238
you.,322,239
cities,321,240
wherefore,320,241
dwell,318,242
cut,318,243
lord:,316,244
right,315,245
round,315,246
whose,314,247
"thereof,",313,248
stood,313,249
priest,312,250
"son,",309,251
servant,306,252
them:,304,253
"us,",303,254
"hand,",303,255
"land,",302,256
four,295,257
"up,",295,258
"judah,",294,259
same,292,260
work,290,261
lord;,290,262
pray,290,263
soul,290,264
"men,",289,265
deliver,289,266
taken,287,267
me:,287,268
being,287,269
"king,",286,270
hands,285,271
young,283,272
blood,282,273
cause,282,274
king's,282,275
"brethren,",282,276
sin,280,277
turn,279,278
surely,278,279
twenty,278,280
eyes,277,281
told,276,282
law,276,283
"jerusalem,",276,284
why,275,285
face,273,286
servants,273,287
fire,273,288
blessed,271,289
them;,270,290
glory,270,291
left,269,292
"city,",268,293
"her,",267,294
side,266,295
themselves,265,296
turned,265,297
laid,265,298
old,264,299
kings,264,300
delivered,264,301
"father,",263,302
"not,",261,303
saul,261,304
chief,259,305
very,257,306
gathered,256,307
"earth,",255,308
much,255,309
priests,255,310
year,254,311
kingdom,253,312
"moses,",252,313
christ,251,314
thee:,250,315
god;,250,316
another,247,317
mighty,246,318
daughter,246,319
"egypt,",245,320
such,244,321
destroy,243,322
jerusalem,242,323
concerning,241,324
drink,239,325
together,238,326
woman,238,327
ten,237,328
end,237,329
wilt,237,330
"come,",237,331
love,237,332
seek,235,333
tabernacle,235,334
lay,234,335
lest,233,336
can,233,337
wicked,233,338
between,232,339
seen,230,340
though,230,341
full,228,342
peace,228,343
smote,227,344
fell,227,345
offer,227,346
whole,226,347
shew,226,348
send,226,349
tribe,226,350
begat,225,351
little,224,352
cometh,224,353
stand,223,354
flesh,222,355
save,221,356
mouth,220,357
god:,219,358
mount,219,359
fathers,219,360
meat,218,361
spoken,218,362
some,218,363
praise,217,364
dwelt,214,365
him;,213,366
"heaven,",211,367
heaven,209,368
thee;,209,369
tell,209,370
doth,207,371
"david,",206,372
aaron,205,373
solomon,205,374
seed,203,375
covenant,203,376
sight,203,377
day.,202,378
"heart,",201,379
rest,200,380
mercy,200,381
altar,199,382
behold,199,383
bread,199,384
head,199,385
inhabitants,198,386
life,197,387
bear,196,388
people.,196,389
strong,196,390
"thou,",195,391
brethren,195,392
written,195,393
fall,194,394
"offering,",194,395
earth.,193,396
return,193,397
having,193,398
part,193,399
serve,192,400
slew,191,401
six,191,402
jacob,191,403
"fathers,",191,404
brother,189,405
certain,189,406
sat,188,407
gone,188,408
only,187,409
princes,187,410
waters,186,411
call,186,412
while,186,413
known,185,414
walk,184,415
not.,184,416
above,182,417
"things,",182,418
nations,182,419
ever.,182,420
whosoever,181,421
"down,",181,422
angel,181,423
cannot,181,424
congregation,180,425
wise,179,426
it:,177,427
ark,177,428
me;,176,429
power,176,430
water,173,431
bare,173,432
well,173,433
"out,",173,434
began,172,435
"gold,",172,436
sword,171,437
hold,171,438
jerusalem.,171,439
within,170,440
till,169,441
whether,169,442
book,168,443
reigned,168,444
third,167,445
wherein,167,446
wife,166,447
kept,166,448
multitude,166,449
sacrifice,166,450
receive,165,451
"sons,",165,452
could,165,453
gate,165,454
long,165,455
knew,164,456
israel:,164,457
light,163,458
gather,163,459
house.,161,460
throughout,161,461
judge,160,462
joshua,160,463
thirty,159,464
it;,159,465
righteous,158,466
departed,158,467
passed,158,468
lifted,158,469
"again,",158,470
cried,158,471
forty,157,472
judgment,157,473
fruit,156,474
manner,156,475
far,156,476
you:,154,477
build,153,478
egypt,153,479
sea,153,480
able,152,481
built,152,482
"place,",151,483
whatsoever,151,484
find,151,485
moreover,151,486
"together,",150,487
second,149,488
received,149,489
"lo,",148,490
"also,",148,491
hand.,148,492
"go,",146,493
"now,",146,494
"therefore,",146,495
levites,146,496
gold,145,497
inheritance,145,498
new,145,499
"way,",144,500
father's,144,501
near,144,502
carried,144,503
jews,144,504
"sea,",143,505
look,143,506
dead,143,507
disciples,143,508
returned,142,509
enter,142,510
us.,142,511
righteousness,142,512
israel;,142,513
prophet,141,514
"christ,",141,515
land.,140,516
number,140,517
daughters,139,518
thereof.,138,519
filled,138,520
nothing,138,521
"away,",138,522
silver,138,523
"children,",137,524
commandment,137,525
elders,137,526
"days,",136,527
anger,136,528
strength,136,529
become,135,530
"servants,",135,531
thyself,135,532
philistines,135,533
joseph,135,534
grace,134,535
door,134,536
"law,",134,537
men.,134,538
broken,133,539
border,133,540
most,133,541
"priest,",133,542
remember,132,543
must,132,544
break,132,545
lie,132,546
hearken,131,547
burn,131,548
beside,131,549
faith,131,550
"eyes,",130,551
not:,130,552
shewed,130,553
"sword,",130,554
cry,129,555
wrath,129,556
rejoice,129,557
works,129,558
meet,128,559
rose,128,560
born,128,561
slain,128,562
twelve,128,563
goeth,127,564
fifty,127,565
offerings,127,566
half,127,567
offered,126,568
thee?,126,569
iniquity,126,570
places,126,571
ever,126,572
wisdom,126,573
unclean,126,574
sought,125,575
maketh,125,576
"month,",123,577
night,123,578
"name,",123,579
"silver,",123,580
pharaoh,122,581
didst,122,582
rise,122,583
captain,122,584
die,122,585
poor,122,586
giveth,122,587
mother,121,588
smite,121,589
whither,121,590
bless,120,591
abraham,120,592
"voice,",120,593
"wife,",119,594
man's,119,595
me?,119,596
"hosts,",119,597
wilderness,118,598
"fire,",118,599
vessels,118,600
host,117,601
"that,",117,602
"dead,",117,603
feet,116,604
lord's,116,605
"jesus,",116,606
child,115,607
yourselves,115,608
death,115,609
"himself,",115,610
field,114,611
prophets,114,612
seventh,113,613
mayest,113,614
slay,113,615
destroyed,113,616
seeing,113,617
fine,113,618
world,113,619
leave,112,620
get,112,621
living,111,622
hid,111,623
war,111,624
enemies,111,625
asked,111,626
peter,111,627
paul,111,628
throne,110,629
family,110,630
counsel,110,631
"this,",109,632
sit,109,633
babylon,109,634
kill,108,635
walked,108,636
numbered,108,637
"time,",108,638
wherewith,108,639
open,107,640
spread,107,641
"servant,",107,642
stone,107,643
sing,107,644
trust,107,645
became,106,646
appointed,106,647
better,106,648
"another,",105,649
"priests,",105,650
jeremiah,105,651
earth:,104,652
not;,104,653
lift,104,654
"water,",104,655
wine,104,656
saying,104,657
"jacob,",104,658
live,103,659
opened,103,660
"flesh,",103,661
here,103,662
followed,103,663
believe,103,664
king.,103,665
samuel,103,666
"he,",102,667
river,101,668
east,101,669
beasts,101,670
"in,",101,671
entered,101,672
reign,101,673
"answered,",101,674
teach,101,675
"side,",101,676
"babylon,",101,677
fat,100,678
looked,100,679
women,100,680
command,100,681
possess,100,682
woe,100,683
cubits,99,684
help,98,685
"brother,",98,686
valley,98,687
her.,98,688
"wilderness,",98,689
witness,98,690
answer,98,691
"is,",98,692
truth,98,693
"congregation,",98,694
"night,",97,695
"field,",97,696
trees,97,697
"i,",97,698
sweet,97,699
back,97,700
"peace,",97,701
knoweth,97,702
month,97,703
sabbath,97,704
temple,97,705
ask,96,706
"offerings,",96,707
captains,96,708
hezekiah,96,709
"life,",95,710
"blood,",95,711
egypt.,95,712
"mouth,",95,713
gods,95,714
ears,95,715
"aaron,",95,716
worship,95,717
"world,",95,718
morning,94,719
caused,94,720
shut,94,721
"arise,",94,722
buried,94,723
bound,94,724
death.,94,725
fight,94,726
tree,93,727
man.,93,728
ought,93,729
feast,93,730
"be,",93,731
wall,93,732
joy,93,733
fled,92,734
sun,92,735
service,92,736
utterly,92,737
beast,91,738
knowledge,91,739
"bread,",91,740
"forth,",91,741
depart,91,742
him?,91,743
afraid,91,744
"gods,",90,745
desire,90,746
died,90,747
covered,90,748
"altar,",90,749
"morning,",90,750
wrought,90,751
declare,90,752
people:,90,753
honour,90,754
nevertheless,90,755
"saul,",90,756
christ.,90,757
south,89,758
place.,89,759
prince,89,760
body,89,761
heart.,88,762
families,88,763
top,88,764
away.,88,765
flee,88,766
oil,88,767
carry,88,768
chosen,88,769
john,88,770
days.,87,771
money,87,772
"about,",87,773
threescore,87,774
"hear,",87,775
"ye,",87,776
"spirit,",87,777
you;,86,778
going,86,779
prepared,86,780
never,86,781
arose,86,782
"death,",86,783
ways,86,784
wait,86,785
jonathan,86,786
"head,",85,787
"hands,",85,788
believed,85,789
wash,85,790
drew,85,791
"words,",85,792
stones,85,793
verily,85,794
suffer,85,795
"saith,",85,796
hope,85,797
"thing,",84,798
mountains,84,799
there.,84,800
lot,84,801
"nations,",84,802
loved,84,803
"came,",84,804
"levites,",84,805
sins,84,806
joab,84,807
thence,83,808
"woman,",83,809
ever:,83,810
"years,",83,811
son.,83,812
doeth,83,813
present,83,814
nigh,83,815
burned,83,816
remnant,83,817
"wine,",82,818
country,82,819
"abraham,",82,820
"arose,",82,821
us:,82,822
again.,82,823
poured,82,824
(for,82,825
incense,82,826
presence,81,827
ready,81,828
hide,81,829
"there,",81,830
"themselves,",81,831
times,81,832
hosts,81,833
commandments,81,834
likewise,81,835
minister,81,836
heaven.,80,837
city.,80,838
charge,80,839
plague,80,840
pure,80,841
tongue,80,842
everlasting,79,843
portion,79,844
"face,",79,845
"good,",79,846
follow,79,847
ephraim,79,848
tribes,79,849
bringeth,79,850
raised,79,851
prepare,79,852
noise,79,853
"prophets,",79,854
earth;,78,855
"evil,",78,856
life.,78,857
pitched,78,858
small,78,859
hate,78,860
spoil,78,861
houses,78,862
fire.,78,863
sound,78,864
"righteousness,",78,865
jeroboam,78,866
day:,77,867
hearkened,77,868
tenth,77,869
all.,77,870
abide,77,871
firstborn,77,872
feed,77,873
eye,77,874
years.,76,875
things.,76,876
people;,76,877
up.,76,878
knowest,76,879
name.,76,880
nation,76,881
committed,76,882
north,76,883
gates,76,884
fourth,75,885
"mother,",75,886
hand:,75,887
draw,75,888
mother's,75,889
strange,75,890
"oil,",75,891
understanding,75,892
coming,75,893
breadth,74,894
sore,74,895
father.,74,896
come.,74,897
write,74,898
taketh,74,899
commit,74,900
"all,",74,901
shouldest,73,902
offering:,73,903
bowed,73,904
sheep,73,905
"sin,",73,906
except,73,907
out.,73,908
salvation,73,909
atonement,73,910
jordan,73,911
cattle,72,912
whereof,72,913
whence,72,914
"feet,",72,915
sold,72,916
thought,72,917
cover,72,918
selah.,72,919
die.,71,920
land:,71,921
sware,71,922
stretched,71,923
"pharaoh,",71,924
"enemies,",71,925
moses.,71,926
court,71,927
lips,71,928
"disciples,",71,929
beginning,70,930
wind,70,931
removed,70,932
served,70,933
house:,70,934
ruler,70,935
"ways,",70,936
