Word,Freq,Rank
the,439,1
and,340,2
of,146,3
in,140,4
a,126,5
i,122,6
to,111,7
my,83,8
with,66,9
his,57,10
is,52,11
he,50,12
little,45,13
on,43,14
they,43,15
that,39,16
all,36,17
but,36,18
like,35,19
their,34,20
not,34,21
thou,33,22
her,33,23
from,32,24
thy,31,25
was,30,26
for,29,27
when,28,28
then,28,29
sweet,26,30
can,26,31
it,26,32
are,25,33
what,25,34
where,24,35
by,22,36
our,22,37
an,21,38
or,21,39
be,20,40
me,20,41
so,19,42
thee,19,43
shall,19,44
happy,18,45
who,18,46
every,17,47
does,17,48
have,17,49
&,17,50
down,16,51
as,16,52
if,16,53
love,16,54
human,16,55
joy,15,56
till,15,57
she,15,58
never,15,59
nor,15,60
why,15,61
how,14,62
am,14,63
this,14,64
upon,14,65
night,14,66
its,14,67
thel,13,68
while,13,69
we,13,70
no,13,71
see,13,72
mother,12,73
hear,12,74
did,12,75
father,12,76
holy,12,77
o,12,78
o'er,11,79
your,11,80
weeping,11,81
infant,11,82
cloud,10,83
sit,10,84
were,10,85
"lamb,",10,86
oh,10,87
"night,",10,88
"sleep,",10,89
"love,",10,90
heard,10,91
"day,",9,92
tender,9,93
know,9,94
white,9,95
--,9,96
god,9,97
him,9,98
bright,9,99
sorrow,9,100
wept,8,101
child,8,102
green,8,103
birds,8,104
away,8,105
round,8,106
golden,8,107
them,8,108
rose,8,109
morning,8,110
do,8,111
hand,8,112
voice,8,113
come,8,114
over,8,115
lyca,8,116
virgin,8,117
songs,7,118
saw,7,119
song,7,120
sing,7,121
"peace,",7,122
among,7,123
at,7,124
many,7,125
"delight,",7,126
thee?,7,127
angel,7,128
face,7,129
you,7,130
had,7,131
came,7,132
let,7,133
"father,",7,134
through,7,135
doth,7,136
image,7,137
smiles,7,138
heaven,7,139
children,7,140
now,7,141
silent,7,142
sleep,7,143
tears,7,144
day,7,145
garden,7,146
merry,6,147
may,6,148
made,6,149
sun,6,150
laugh,6,151
more,6,152
"thee,",6,153
"voice,",6,154
vales,6,155
tell,6,156
boy,6,157
"me,",6,158
there,6,159
"away,",6,160
earth,6,161
these,6,162
seek,6,163
pretty,6,164
could,6,165
cannot,6,166
up,6,167
fear,6,168
lost,6,169
"deep,",6,170
"joy,",6,171
form,6,172
weep.,6,173
