Word,Freq,Rank
the,3414,1
and,2043,2
to,1149,3
a,1002,4
he,993,5
of,811,6
was,675,7
in,604,8
little,569,9
his,550,10
that,459,11
it,457,12
she,399,13
they,386,14
i,363,15
you,344,16
for,328,17
as,323,18
said,304,19
had,286,20
with,277,21
but,277,22
so,273,23
when,263,24
at,260,25
her,257,26
on,242,27
is,230,28
all,216,29
not,208,30
were,187,31
came,178,32
him,171,33
one,165,34
there,163,35
be,160,36
from,157,37
out,153,38
very,150,39
could,148,40
then,144,41
have,144,42
up,131,43
will,127,44
this,122,45
my,117,46
went,114,47
their,112,48
them,110,49
down,108,50
would,108,51
great,105,52
who,105,53
"""i",103,54
me,98,55
old,96,56
are,92,57
do,91,58
what,91,59
by,89,60
"said,",89,61
into,88,62
saw,87,63
like,85,64
made,84,65
see,84,66
if,84,67
your,81,68
no,80,69
after,77,70
more,77,71
come,72,72
where,72,73
did,71,74
looked,70,75
over,69,76
king,69,77
time,67,78
go,66,79
away,66,80
just,66,81
about,65,82
big,63,83
good,63,84
make,62,85
ran,61,86
put,61,87
or,60,88
people,60,89
than,60,90
man,60,91
how,60,92
every,59,93
two,58,94
we,58,95
took,57,96
some,56,97
am,56,98
never,54,99
him.,54,100
"him,",54,101
"it,",54,102
know,53,103
mother,52,104
began,51,105
day,50,106
thought,50,107
can,49,108
father,49,109
much,49,110
once,48,111
heard,47,112
only,46,113
long,45,114
other,45,115
boy,45,116
stood,44,117
take,44,118
upon,43,119
got,43,120
margery,43,121
shall,42,122
any,42,123
until,42,124
jackal,42,125
which,41,126
red,41,127
back,41,128
an,41,129
men,40,130
way,40,131
many,40,132
own,40,133
beautiful,39,134
must,39,135
through,39,136
an',39,137
been,38,138
"""you",37,139
think,37,140
"""oh,",37,141
last,37,142
something,36,143
till,36,144
look,36,145
should,36,146
soon,35,147
now,35,148
while,35,149
before,35,150
eat,35,151
gingerbread,35,152
white,35,153
door,34,154
help,34,155
"me,",34,156
fir,34,157
get,33,158
poor,33,159
grew,33,160
called,33,161
lion,33,162
left,33,163
mouse,33,164
asked,33,165
always,33,166
prince,33,167
still,32,168
round,32,169
"you,",32,170
let,32,171
felt,32,172
along,32,173
tailor,32,174
want,31,175
head,31,176
told,31,177
too,31,178
it.,31,179
such,31,180
tree,31,181
lived,30,182
knew,30,183
"day,",30,184
them.,30,185
hard,30,186
"up,",29,187
thing,29,188
these,29,189
nightingale,29,190
another,28,191
wanted,28,192
give,28,193
tiny,28,194
fox,28,195
next,28,196
"them,",28,197
"""the",28,198
end,28,199
gold,28,200
emperor,28,201
"""and",27,202
work,27,203
ever,27,204
gave,27,205
"that,",27,206
found,27,207
turned,27,208
"then,",27,209
don't,27,210
himself,27,211
david,27,212
garden,26,213
"said,--",26,214
story,26,215
quite,26,216
kept,26,217
home,26,218
going,26,219
because,26,220
"""it",26,221
used,26,222
children,25,223
pretty,25,224
sing,25,225
i'll,25,226
country,25,227
city,25,228
even,25,229
kind,25,230
brother,25,231
set,25,232
tell,24,233
said.,24,234
brought,24,235
"out,",24,236
has,24,237
house,23,238
small,23,239
its,23,240
catch,23,241
"""what",23,242
place,23,243
find,23,244
new,23,245
most,23,246
enough,23,247
sent,23,248
sat,22,249
cannot,22,250
again,22,251
first,22,252
"was,",22,253
"""but",22,254
struck,22,255
far,21,256
"down,",21,257
strong,21,258
"man,",21,259
fast,21,260
run,21,261
hold,21,262
things,21,263
happy,21,264
tiger,21,265
"there,",20,266
"""who",20,267
sweet,20,268
three,20,269
off,20,270
hear,20,271
wind,20,272
dear,20,273
without,19,274
became,19,275
near,19,276
us,19,277
"""that",19,278
leaves,19,279
carried,19,280
wife,19,281
here,18,282
cried,18,283
wonderful,18,284
eyes,18,285
"""a",18,286
field,18,287
fine,18,288
keep,18,289
well,18,290
"again,",18,291
nothing,18,292
may,18,293
each,18,294
cut,18,295
might,18,296
robert,18,297
cherry,18,298
under,17,299
"last,",17,300
tried,17,301
anything,17,302
our,17,303
"mother,",17,304
those,17,305
"this,",17,306
better,17,307
"brahmin,",17,308
hermit,17,309
voice,16,310
right,16,311
earth,16,312
trees,16,313
whole,16,314
horse,16,315
water,16,316
killed,16,317
home.,16,318
fell,16,319
king's,16,320
music,16,321
giant,16,322
again.,15,323
opened,15,324
"""yes,",15,325
laughed,15,326
"and,",15,327
almost,15,328
terrible,15,329
face,15,330
live,15,331
best,15,332
"home,",15,333
hand,15,334
night,15,335
"water,",15,336
everything,15,337
king.,15,338
*,15,339
years,15,340
"time,",15,341
against,15,342
food,15,343
care,15,344
court,15,345
lazy,15,346
full,14,347
green,14,348
can't,14,349
same,14,350
morning,14,351
seemed,14,352
mighty,14,353
hen,14,354
done,14,355
couldn't,14,356
wait,14,357
jackal.,14,358
bag,14,359
"away,",14,360
liked,14,361
jack,14,362
"her,",14,363
ground,14,364
really,14,365
alligator,14,366
young,14,367
grey,14,368
courtiers,14,369
margaret,14,370
ground.,13,371
"""if",13,372
few,13,373
across,13,374
lay,13,375
suddenly,13,376
woman,13,377
"on,",13,378
"me!""",13,379
behind,13,380
world,13,381
open,13,382
show,13,383
half-chick,13,384
"so,",13,385
does,13,386
"night,",13,387
read,13,388
worked,13,389
carry,13,390
fairy,13,391
loved,13,392
child,13,393
kill,13,394
margery's,13,395
statue,13,396
castle,13,397
dark,12,398
wee,12,399
"too,",12,400
wish,12,401
toward,12,402
life,12,403
rolled,12,404
shut,12,405
"head,",12,406
except,12,407
"""i'll",12,408
nice,12,409
stone,12,410
hole,12,411
mr,12,412
pull,12,413
drove,12,414
land,12,415
"hoppity-kick,",12,416
save,12,417
palace,12,418
there.,12,419
rid,12,420
wicked,12,421
says,12,422
happened,12,423
"king,",12,424
strange,12,425
girl,12,426
named,12,427
louisa,12,428
able,12,429
heart,12,430
christmas,12,431
elsa,12,432
servants,12,433
brahmin,12,434
"by,",11,435
early,11,436
"boy,",11,437
"you,""",11,438
sound,11,439
love,11,440
lovely,11,441
her.,11,442
"thought,",11,443
jumped,11,444
everybody,11,445
brown,11,446
himself.,11,447
rest,11,448
shone,11,449
high,11,450
bad,11,451
straight,11,452
looks,11,453
me.,11,454
taken,11,455
looking,11,456
grow,11,457
fair,11,458
since,11,459
man's,11,460
flew,11,461
"now,",11,462
hidden,11,463
"""how",11,464
baby,11,465
"father,",11,466
stories,11,467
seen,11,468
shoemaker,11,469
"came,",11,470
clock,11,471
tortoise,11,472
sang,11,473
emperor's,11,474
sitting,10,475
"little,",10,476
"still,",10,477
flowers,10,478
tail,10,479
"work,",10,480
light,10,481
filled,10,482
bread,10,483
house.,10,484
all.,10,485
shoes,10,486
cow,10,487
didn't,10,488
minute,10,489
threw,10,490
half,10,491
often,10,492
"lion,",10,493
thin,10,494
"jackal,",10,495
sure,10,496
started,10,497
gone,10,498
piece,10,499
rollaround,10,500
trundle-bed,10,501
roll,10,502
nobody,10,503
bright,10,504
was.,10,505
"dear,",10,506
"off,",10,507
between,10,508
caught,10,509
"say,",10,510
days,10,511
"house,",10,512
wise,10,513
ate,10,514
bring,10,515
epaminondas,10,516
ask,10,517
being,10,518
river,10,519
corn,10,520
money,10,521
soul,10,522
thou,10,523
thy,10,524
ten,10,525
camel,10,526
royal,10,527
drew,10,528
sicily,10,529
heavenly,10,530
artist,10,531
harp,10,532
dagda,10,533
tailor.,10,534
"""no,",9,535
soft,9,536
rain,9,537
top,9,538
midst,9,539
sun,9,540
sometimes,9,541
held,9,542
sprang,9,543
"long,",9,544
saved,9,545
"woman,",9,546
"fox,",9,547
middle,9,548
"course,",9,549
hands,9,550
why,9,551
"about,",9,552
day.,9,553
friend,9,554
thinking,9,555
stole,9,556
bit,9,557
stopped,9,558
bed,9,559
moon,9,560
boat,9,561
"door,",9,562
"way,",9,563
"""do",9,564
elephant,9,565
ready,9,566
play,9,567
walked,9,568
stay,9,569
"more,",9,570
snow,9,571
carefully,9,572
fairies,9,573
paw,9,574
room,9,575
"know,",9,576
born,9,577
begged,9,578
"himself,",9,579
part,9,580
"friend,",9,581
beside,9,582
sit,9,583
grown,9,584
wrote,9,585
bought,9,586
"tree,",9,587
real,9,588
say,9,589
"morning,",9,590
touched,9,591
presently,9,592
given,9,593
exactly,9,594
mountain,9,595
"eyes,",9,596
plough,9,597
magic,9,598
gottlieb,9,599
christ,9,600
outside,8,601
yellow,8,602
"""it's",8,603
cloud,8,604
rose,8,605
sea,8,606
"earth,",8,607
remembered,8,608
angel,8,609
above,8,610
fields,8,611
bowed,8,612
plant,8,613
pulled,8,614
"cow,",8,615
"horse,",8,616
coming,8,617
running,8,618
people.,8,619
fox.,8,620
"""my",8,621
roared,8,622
times,8,623
surely,8,624
said;,8,625
"""he",8,626
shook,8,627
"well,",8,628
mouse.,8,629
"me,""",8,630
death,8,631
"""little",8,632
pushed,8,633
lying,8,634
among,8,635
begin,8,636
whale,8,637
"it.""",8,638
beat,8,639
tied,8,640
low,8,641
"king!""",8,642
evening,8,643
wonder,8,644
remember,8,645
grass,8,646
shiny,8,647
tired,8,648
ould,8,649
around,8,650
ye,8,651
"mammy,""",8,652
crabs,8,653
else,8,654
talk,8,655
"trees,",8,656
sad,8,657
women,8,658
art,8,659
"air,",8,660
perhaps,8,661
"cage?""",8,662
brahmin.,8,663
salt,8,664
"nightingale,",8,665
tears,8,666
"margery,",8,667
margery.,8,668
bade,8,669
fight,8,670
grind,8,671
"david,",8,672
time.,7,673
"voice,",7,674
"ran,",7,675
garden.,7,676
fly,7,677
yet,7,678
spoke,7,679
"you!""",7,680
words,7,681
"""not",7,682
"i,""",7,683
girls,7,684
"""now",7,685
can!,7,686
i'm,7,687
fear,7,688
stones,7,689
up.,7,690
"""i'm",7,691
indeed,7,692
"oh,",7,693
danced,7,694
side,7,695
"one,",7,696
glad,7,697
life.,7,698
in.,7,699
safely,7,700
"back,",7,701
"once,",7,702
"""this",7,703
about.,7,704
funny,7,705
"bed,",7,706
"""why",7,707
beasts,7,708
path,7,709
doing,7,710
"world,",7,711
"""they",7,712
stuck,7,713
rope,7,714
making,7,715
foolish,7,716
"me.""",7,717
"went,",7,718
"leaves,",7,719
"""when",7,720
slowly,7,721
him;,7,722
"life,",7,723
"over,",7,724
"""there",7,725
gone.,7,726
acorn,7,727
wearing,7,728
dropped,7,729
pot,7,730
wid,7,731
right.,7,732
before.,7,733
"epaminondas,",7,734
deal,7,735
raised,7,736
alligator!,7,737
wild,7,738
free,7,739
"them.""",7,740
move,7,741
farmer,7,742
four,7,743
helped,7,744
"girl,",7,745
book,7,746
crown,7,747
whom,7,748
"another,",7,749
covered,7,750
elves,7,751
anyone,7,752
wore,7,753
"tiger,",7,754
