Word,Freq,Rank
the,659,1
he,650,2
and,512,3
to,416,4
of,337,5
that,287,6
a,283,7
was,257,8
it,227,9
had,210,10
buster,209,11
little,203,12
his,183,13
as,163,14
in,161,15
is,138,16
all,108,17
so,108,18
bear,107,19
for,101,20
at,100,21
farmer,99,22
but,97,23
brown's,97,24
one,95,25
joe,93,26
you,90,27
green,87,28
i,82,29
very,82,30
when,80,31
on,79,32
they,79,33
just,79,34
boy,79,35
if,71,36
then,70,37
there,69,38
him,65,39
with,63,40
what,63,41
be,61,42
out,58,43
up,58,44
didn't,55,45
see,53,46
have,52,47
who,49,48
said,48,49
great,47,50
could,47,51
blacky,46,52
would,45,53
no,45,54
big,44,55
from,44,56
old,42,57
down,41,58
this,41,59
were,41,60
some,40,61
been,40,62
know,39,63
looked,39,64
or,38,65
billy,38,66
sammy,37,67
about,36,68
more,35,69
it.,35,70
time,35,71
where,35,72
laughing,34,73
now,34,74
than,34,75
get,33,76
how,33,77
forest,32,78
right,32,79
afraid,32,80
fish,31,81
them,30,82
way,29,83
otter,29,84
are,29,85
over,28,86
away,28,87
pail,28,88
by,27,89
make,27,90
"""i",27,91
couldn't,27,92
trout,26,93
any,26,94
even,25,95
do,25,96
sure,25,97
other,25,98
made,25,99
berries,25,100
thought,24,101
has,24,102
frightened,24,103
come,24,104
thing,24,105
never,23,106
went,23,107
too,23,108
smiling,23,109
those,23,110
people,22,111
chatterer,22,112
saw,22,113
back,22,114
can,22,115
grandfather,22,116
until,21,117
think,21,118
into,21,119
came,21,120
pool,21,121
did,21,122
much,21,123
"him,",21,124
heard,20,125
knew,20,126
not,20,127
else,20,128
"forest,",20,129
everybody,20,130
go,19,131
which,19,132
bear.,19,133
such,19,134
will,19,135
something,19,136
off,18,137
mr.,18,138
started,18,139
"see,",18,140
eyes,18,141
him.,18,142
believe,18,143
ever,18,144
first,17,145
fat,17,146
my,17,147
behind,17,148
tell,17,149
next,17,150
began,17,151
because,17,152
once,16,153
got,16,154
going,16,155
caught,16,156
head,16,157
bad,16,158
eat,16,159
me,16,160
long,16,161
enough,16,162
keep,16,163
fishing,15,164
through,15,165
he.,15,166
most,15,167
felt,15,168
"pool,",15,169
brook,15,170
catch,15,171
wasn't,15,172
mink,15,173
i'll,15,174
reddy,15,175
himself.,14,176
forest.,14,177
crow,14,178
must,14,179
same,14,180
don't,14,181
like,14,182
isn't,14,183
found,14,184
sat,13,185
told,13,186
jay,13,187
red,13,188
himself,13,189
should,13,190
seen,13,191
"bear,",13,192
looking,13,193
only,13,194
them.,13,195
still,13,196
kept,13,197
things,13,198
find,13,199
might,13,200
peter,13,201
run,13,202
pasture,13,203
tree,12,204
seemed,12,205
top,12,206
good,12,207
want,12,208
"brook,",12,209
before,12,210
another,12,211
"is,",12,212
we,12,213
always,12,214
lot,12,215
place,12,216
take,12,217
