Word,Freq,Rank
the,1603,1
and,766,2
to,706,3
a,614,4
she,518,5
of,493,6
said,421,7
it,362,8
in,351,9
was,333,10
you,264,11
i,260,12
as,249,13
that,222,14
alice,221,15
her,208,16
at,205,17
had,176,18
with,169,19
all,155,20
on,142,21
very,139,22
be,138,23
for,135,24
so,126,25
'i,121,26
little,120,27
they,117,28
but,116,29
he,111,30
not,108,31
this,103,32
out,97,33
his,95,34
what,91,35
about,84,36
were,82,37
up,81,38
one,80,39
went,79,40
down,78,41
have,77,42
would,76,43
"alice,",76,44
like,75,45
when,73,46
if,72,47
is,71,48
or,68,49
into,67,50
no,67,51
could,65,52
there,64,53
thought,63,54
your,60,55
*,60,56
then,59,57
by,57,58
its,57,59
an,56,60
my,56,61
mock,56,62
'and,55,63
quite,55,64
who,54,65
alice.,54,66
don't,53,67
their,51,68
do,51,69
did,50,70
some,50,71
them,49,72
just,48,73
see,48,74
time,47,75
began,47,76
how,46,77
me,46,78
know,46,79
looked,45,80
got,45,81
only,44,82
get,43,83
must,42,84
much,40,85
never,40,86
after,40,87
herself,40,88
such,40,89
off,40,90
are,40,91
which,40,92
great,39,93
go,39,94
more,39,95
'you,39,96
"it,",38,97
think,38,98
came,38,99
'but,38,100
way,37,101
i'm,37,102
been,36,103
any,36,104
say,35,105
thing,35,106
queen,35,107
'what,34,108
turtle,33,109
large,32,110
from,32,111
over,31,112
put,31,113
"herself,",31,114
it's,31,115
can,31,116
"again,",31,117
march,31,118
rabbit,30,119
long,30,120
round,30,121
first,30,122
'it,30,123
will,30,124
looking,30,125
made,29,126
tell,29,127
head,29,128
back,29,129
heard,29,130
white,28,131
found,28,132
king,28,133
well,27,134
seemed,27,135
"on,",27,136
should,27,137
might,27,138
can't,27,139
going,26,140
make,26,141
upon,26,142
come,26,143
poor,26,144
"said,",26,145
other,26,146
"you,",26,147
last,26,148
look,25,149
rather,25,150
now,25,151
took,24,152
soon,24,153
without,24,154
i'll,24,155
hatter,24,156
good,23,157
felt,23,158
than,23,159
'it's,23,160
him,23,161
three,23,162
dormouse,23,163
nothing,22,164
shall,22,165
two,22,166
next,22,167
gryphon,22,168
getting,21,169
another,21,170
moment,21,171
too,21,172
right,21,173
wish,21,174
half,21,175
same,21,176
won't,21,177
'if,21,178
"them,",21,179
i've,20,180
find,20,181
"'well,",20,182
'i'm,20,183
while,20,184
mouse,20,185
'the,20,186
added,20,187
once,19,188
before,19,189
take,19,190
here,19,191
even,19,192
things,19,193
"however,",19,194
"it,'",19,195
"'oh,",19,196
"and,",19,197
being,19,198
till,19,199
eyes,18,200
tried,18,201
"her,",18,202
cried,18,203
voice,18,204
"this,",17,205
sort,17,206
that's,17,207
you're,17,208
ever,17,209
sat,17,210
"queen,",17,211
use,16,212
under,16,213
again.,16,214
it.,16,215
"is,",16,216
eat,16,217
turned,16,218
curious,16,219
alice;,16,220
there's,16,221
sure,16,222
doesn't,16,223
'how,16,224
"tone,",16,225
we,16,226
hare,16,227
wonder,15,228
away,15,229
door,15,230
gave,15,231
"voice,",15,232
'that,15,233
something,15,234
cat,15,235
called,15,236
'that's,15,237
minute,15,238
duchess,15,239
"king,",15,240
gryphon.,15,241
hear,14,242
"down,",14,243
anything,14,244
near,14,245
idea,14,246
"was,",14,247
words,14,248
"off,",14,249
set,14,250
replied,14,251
both,14,252
'i've,14,253
"gryphon,",14,254
ran,13,255
her.,13,256
ought,13,257
saw,13,258
let,13,259
still,13,260
through,13,261
"out,",13,262
left,13,263
grow,13,264
anxiously,13,265
kept,13,266
am,13,267
again,13,268
these,13,269
whole,13,270
old,13,271
hatter.,13,272
chapter,12,273
close,12,274
seen,12,275
wouldn't,12,276
many,12,277
among,12,278
perhaps,12,279
talking,12,280
remember,12,281
behind,12,282
side,12,283
every,12,284
because,12,285
hardly,12,286
knew,12,287
try,12,288
used,12,289
end,12,290
always,12,291
'of,12,292
turning,12,293
caterpillar.,12,294
may,12,295
king.,12,296
beginning,11,297
day,11,298
whether,11,299
hurried,11,300
"first,",11,301
"see,",11,302
glad,11,303
didn't,11,304
"mouse,",11,305
saying,11,306
hand,11,307
feet,11,308
trying,11,309
"before,",11,310
makes,11,311
deal,11,312
'a,11,313
'not,11,314
'we,11,315
course,11,316
better,11,317
wasn't,11,318
'then,11,319
caterpillar,11,320
it?',11,321
queen.,11,322
hare.,11,323
sitting,10,324
having,10,325
suddenly,10,326
people,10,327
walked,10,328
alice's,10,329
those,10,330
enough,10,331
everything,10,332
thinking,10,333
"not,",10,334
done,10,335
