Word,Freq,Rank
the,4881,1
and,2550,2
of,2539,3
a,2221,4
to,1547,5
in,1373,6
he,1280,7
that,1056,8
his,919,9
was,888,10
it,841,11
you,827,12
with,804,13
as,681,14
i,672,15
is,664,16
had,553,17
but,487,18
said,484,19
not,463,20
at,454,21
they,432,22
for,428,23
on,423,24
be,390,25
or,380,26
have,371,27
all,325,28
this,321,29
like,313,30
an,312,31
which,311,32
if,307,33
were,306,34
are,305,35
by,281,36
one,277,37
we,270,38
up,261,39
turnbull,250,40
"""i",244,41
him,241,42
from,239,43
man,227,44
there,221,45
into,216,46
macian,214,47
out,211,48
then,203,49
your,191,50
so,189,51
will,188,52
who,188,53
only,186,54
"turnbull,",182,55
about,175,56
their,173,57
two,172,58
when,172,59
what,171,60
some,171,61
more,158,62
do,158,63
my,151,64
other,143,65
been,143,66
them,143,67
no,141,68
would,138,69
even,136,70
very,134,71
than,132,72
"macian,",132,73
did,131,74
quite,127,75
little,125,76
has,122,77
am,122,78
seemed,121,79
down,120,80
could,115,81
after,113,82
any,111,83
us,108,84
really,104,85
know,104,86
looked,102,87
made,102,88
can,102,89
something,101,90
our,100,91
"said,",100,92
me,99,93
face,99,94
see,96,95
went,95,96
almost,94,97
upon,94,98
her,94,99
its,93,100
saw,92,101
she,92,102
"""you",91,103
still,91,104
may,91,105
over,90,106
thing,87,107
came,87,108
old,85,109
long,83,110
back,82,111
men,81,112
such,80,113
say,80,114
must,79,115
think,79,116
first,78,117
evan,77,118
now,76,119
come,75,120
great,75,121
should,75,122
sort,74,123
under,74,124
mr.,73,125
world,70,126
"""what",70,127
himself,69,128
because,69,129
head,69,130
"it,",68,131
same,68,132
just,68,133
through,67,134
might,67,135
don't,67,136
asked,67,137
it.,66,138
whole,66,139
last,66,140
cried,66,141
found,66,142
want,66,143
own,65,144
those,65,145
never,64,146
much,63,147
"""and",62,148
before,62,149
being,62,150
"""the",61,151
time,60,152
"""it",60,153
each,59,154
most,59,155
stood,59,156
yet,59,157
round,58,158
began,57,159
let,57,160
every,56,161
against,56,162
where,55,163
eyes,55,164
suddenly,55,165
good,54,166
off,54,167
things,54,168
answered,54,169
these,53,170
"man,",53,171
"""but",53,172
"""that",53,173
rather,53,174
voice,53,175
white,52,176
turned,52,177
nothing,52,178
people,52,179
fight,52,180
always,51,181
shall,51,182
god,51,183
turnbull.,51,184
between,50,185
behind,50,186
him.,49,187
garden,49,188
red,49,189
go,48,190
here,48,191
thought,47,192
moment,47,193
away,47,194
mean,47,195
again,47,196
black,47,197
once,46,198
without,46,199
got,46,200
mere,45,201
also,44,202
another,44,203
towards,44,204
instant,44,205
young,44,206
put,43,207
along,43,208
both,43,209
"""we",43,210
across,43,211
few,42,212
