Word,Freq,Rank
the,3566,1
a,1719,2
of,1710,3
and,1602,4
he,1080,5
to,1038,6
in,902,7
his,804,8
that,790,9
was,703,10
i,640,11
with,556,12
you,527,13
it,510,14
as,487,15
is,426,16
had,425,17
said,405,18
but,399,19
not,347,20
at,341,21
syme,308,22
for,306,23
they,302,24
on,292,25
like,253,26
all,250,27
have,246,28
this,244,29
be,243,30
an,237,31
are,223,32
were,212,33
we,207,34
man,202,35
which,193,36
if,187,37
"""i",187,38
out,182,39
one,181,40
him,178,41
there,171,42
by,168,43
who,167,44
or,159,45
from,148,46
could,148,47
so,143,48
up,141,49
into,140,50
only,136,51
my,134,52
when,127,53
some,121,54
would,118,55
what,116,56
been,114,57
then,113,58
about,111,59
their,110,60
more,110,61
will,110,62
do,106,63
me,106,64
"syme,",106,65
your,105,66
very,101,67
down,101,68
has,100,69
professor,97,70
no,93,71
am,93,72
even,89,73
seemed,89,74
old,87,75
face,87,76
can,86,77
great,83,78
than,82,79
quite,81,80
"""you",80,81
little,78,82
see,77,83
dr.,76,84
looked,75,85
them,74,86
upon,72,87
came,72,88
almost,71,89
two,70,90
still,70,91
men,69,92
might,69,93
went,68,94
asked,68,95
did,67,96
never,67,97
black,64,98
"""it",64,99
over,64,100
other,63,101
first,62,102
really,61,103
any,60,104
know,60,105
saw,60,106
made,60,107
these,59,108
may,58,109
long,58,110
"said,",58,111
think,57,112
whole,57,113
before,57,114
through,56,115
after,56,116
stood,56,117
such,55,118
say,55,119
off,55,120
sunday,55,121
last,54,122
back,53,123
those,53,124
time,53,125
something,53,126
himself,53,127
should,53,128
thing,52,129
good,51,130
gregory,51,131
us,50,132
our,50,133
come,50,134
under,50,135
too,50,136
tell,50,137
"""the",50,138
don't,50,139
eyes,49,140
just,49,141
white,48,142
being,48,143
shall,48,144
turned,48,145
now,47,146
must,47,147
its,46,148
because,46,149
syme.,46,150
cried,46,151
president,46,152
bull,46,153
against,45,154
make,44,155
most,43,156
"him,",43,157
"""what",43,158
thought,43,159
it.,42,160
red,41,161
new,41,162
put,41,163
across,41,164
going,41,165
sort,41,166
round,40,167
own,40,168
found,40,169
head,40,170
dark,40,171
always,39,172
suddenly,39,173
yet,38,174
rather,38,175
"""and",38,176
"""but",38,177
took,37,178
sat,37,179
how,36,180
felt,36,181
look,36,182
without,36,183
marquis,36,184
people,35,185
go,35,186
him.,35,187
get,35,188
secretary,35,189
"bull,",35,190
once,34,191
much,34,192
"""we",34,193
right,33,194
"""that",33,195
left,33,196
"it,",33,197
de,33,198
three,33,199
blue,32,200
heard,32,201
behind,32,202
where,32,203
each,32,204
got,31,205
looking,31,206
here,31,207
away,31,208
believe,31,209
knew,31,210
place,30,211
"gregory,",30,212
towards,30,213
also,30,214
street,30,215
take,30,216
struck,30,217
light,30,218
began,30,219
syme's,30,220
"professor,",30,221
though,29,222
voice,29,223
end,29,224
moment,29,225
why,29,226
human,29,227
colonel,29,228
kind,28,229
replied,28,230
let,28,231
can't,28,232
again,27,233
fell,27,234
between,27,235
common,27,236
them.,27,237
well,27,238
police,27,239
cannot,27,240
hair,26,241
ordinary,26,242
small,26,243
another,26,244
half,26,245
world,25,246
find,25,247
feel,25,248
called,25,249
way,25,250
many,25,251
ever,25,252
every,25,253
perhaps,25,254
answered,25,255
seen,24,256
things,24,257
beard,24,258
anything,24,259
"however,",24,260
nothing,24,261
sense,24,262
"""he",24,263
rose,24,264
hand,24,265
"you,",24,266
along,24,267
broke,23,268
mere,23,269
whether,23,270
enough,23,271
far,22,272
side,22,273
hear,22,274
"man,",22,275
comrade,22,276
room,22,277
said.,22,278
man's,22,279
fear,21,280
high,21,281
while,21,282
gave,21,283
ask,21,284
"""my",21,285
somewhat,21,286
figure,21,287
hat,21,288
call,21,289
same,21,290
whom,21,291
"""yes,""",21,292
front,21,293
sudden,20,294
earth,20,295
anarchist,20,296
talk,20,297
large,20,298
gone,20,299
standing,20,300
french,20,301
coming,20,302
grey,20,303
policeman,20,304
sprang,20,305
mr.,19,306
certain,19,307
sun,19,308
second,19,309
you.,19,310
wild,19,311
word,19,312
"""oh,",19,313
everything,19,314
mind,18,315
understand,18,316
poet,18,317
pale,18,318
remember,18,319
passed,18,320
square,18,321
next,18,322
does,18,323
give,18,324
mean,18,325
"""no,""",18,326
"me,",18,327
heavy,18,328
want,18,329
staring,18,330
hands,18,331
merely,18,332
fight,18,333
road,18,334
above,18,335
world.,17,336
sometimes,17,337
gentleman,17,338
strange,17,339
others,17,340
few,17,341
"you,""",17,342
both,17,343
ran,17,344
silence,17,345
already,17,346
top,17,347
gogol,17,348
cloud,16,349
true,16,350
day,16,351
chapter,16,352
yellow,16,353
"them,",16,354
words,16,355
"""if",16,356
"""there",16,357
suppose,16,358
sword,16,359
iron,16,360
table,16,361
myself,16,362
five,16,363
seem,16,364
told,16,365
anarchists,16,366
except,16,367
soon,16,368
friend,16,369
"secretary,",16,370
six,16,371
"marquis,",16,372
professor.,16,373
green,15,374
spoke,15,375
god,15,376
least,15,377
face.,15,378
pointed,15,379
train,15,380
"this,",15,381
it's,15,382
fancy,15,383
"well,",15,384
themselves,15,385
simple,15,386
"""well,",15,387
talking,15,388
seems,15,389
slowly,15,390
"indeed,",15,391
modern,15,392
four,15,393
morning,15,394
hundred,15,395
.,15,396
break,14,397
silent,14,398
huge,14,399
broken,14,400
full,14,401
grew,14,402
close,14,403
fallen,14,404
anyone,14,405
"table,",14,406
serious,14,407
"""do",14,408
beyond,14,409
mad,14,410
dead,14,411
whose,14,412
secret,14,413
"it,""",14,414
open,14,415
"other,",14,416
walked,14,417
twenty,14,418
me.,14,419
lifted,14,420
"was,",14,421
fact,14,422
"president,",14,423
detective,14,424
chance,14,425
low,14,426
point,14,427
smile,14,428
"colonel,",14,429
life,13,430
sea.,13,431
clear,13,432
night,13,433
streets,13,434
"us,",13,435
"long,",13,436
real,13,437
part,13,438
name,13,439
smile.,13,440
i'm,13,441
eyes.,13,442
until,13,443
"street,",13,444
gregory.,13,445
led,13,446
certainly,13,447
"all,",13,448
dressed,13,449
all.,13,450
feet,13,451
hardly,13,452
walk,13,453
"silence,",13,454
set,13,455
instant,13,456
"""they",13,457
dancing,13,458
flung,13,459
doctor,13,460
growing,12,461
"now,",12,462
young,12,463
big,12,464
broad,12,465
walking,12,466
"so,",12,467
"cried,",12,468
"voice,",12,469
"""is",12,470
"""this",12,471
having,12,472
swear,12,473
itself,12,474
wish,12,475
"""a",12,476
enormous,12,477
queer,12,478
taking,12,479
"room,",12,480
matter,12,481
poor,12,482
entered,12,483
reason,12,484
said--,12,485
council,12,486
roar,12,487
"feet,",12,488
table.,12,489
"""are",12,490
gentlemen,12,491
run,12,492
thursday,11,493
lit,11,494
indeed,11,495
"see,",11,496
bright,11,497
intellectual,11,498
remembered,11,499
evening,11,500
carried,11,501
forward,11,502
nature,11,503
"yes,",11,504
"it.""",11,505
keep,11,506
either,11,507
promise,11,508
"is,",11,509
cut,11,510
finally,11,511
"say,",11,512
fixed,11,513
"and,",11,514
need,11,515
silly,11,516
voice.,11,517
seven,11,518
"course,",11,519
twice,11,520
hand.,11,521
help,11,522
"himself,",11,523
better,11,524
destroy,11,525
best,11,526
head.,11,527
enemies,11,528
since,11,529
cold,11,530
seconds,11,531
silver,11,532
nearer,11,533
other.,11,534
making,11,535
st.,11,536
bull.,11,537
pull,11,538
nose,11,539
among,11,540
worms,11,541
secretary.,11,542
car,11,543
"men,",10,544
soul,10,545
truth,10,546
talked,10,547
saffron,10,548
heaven,10,549
gabriel,10,550
"fact,",10,551
resumed,10,552
cried.,10,553
"is,""",10,554
right.,10,555
taken,10,556
distant,10,557
read,10,558
comes,10,559
strolled,10,560
syme;,10,561
drew,10,562
mouth,10,563
corner,10,564
stared,10,565
living,10,566
tall,10,567
"face,",10,568
pause,10,569
"me.""",10,570
out.,10,571
road.,10,572
air,10,573
hope,10,574
cab,10,575
pulled,10,576
turn,10,577
strike,10,578
minutes,10,579
"sunday,",10,580
sunday.,10,581
smiling,10,582
"""well,""",10,583
repeated,10,584
caught,10,585
jolly,10,586
leave,10,587
fine,10,588
deep,10,589
solid,10,590
early,10,591
moved,10,592
line,10,593
"out,",10,594
blind,10,595
wore,10,596
bulk,10,597
crime,10,598
free,10,599
sitting,10,600
presence,10,601
sunlight,10,602
window,10,603
clothes,10,604
"eyes,",10,605
chair,10,606
"hand,",10,607
"""not",10,608
card,10,609
catch,10,610
swung,10,611
devil,10,612
sea,10,613
house,10,614
marquis's,10,615
elephant,10,616
order,9,617
held,9,618
hour,9,619
lay,9,620
sunset,9,621
insane,9,622
means,9,623
sky,9,624
sky.,9,625
gregory's,9,626
"hair,",9,627
perfect,9,628
poetical,9,629
"""so",9,630
else,9,631
"""why",9,632
"me,""",9,633
smiled,9,634
"""no,",9,635
"""don't",9,636
dangerous,9,637
curious,9,638
together,9,639
continued,9,640
"then,",9,641
afterwards,9,642
kept,9,643
followed,9,644
outside,9,645
waiting,9,646
stick,9,647
stand,9,648
afraid,9,649
didn't,9,650
opened,9,651
short,9,652
this.,9,653
"are,",9,654
trust,9,655
answer,9,656
"""when",9,657
became,9,658
again.,9,659
"moment,",9,660
you?,9,661
dress,9,662
probably,9,663
"river,",9,664
"""",9,665
"""have",9,666
ought,9,667
gradually,9,668
knows,9,669
thick,9,670
enemy,9,671
supreme,9,672
given,9,673
alone,9,674
"policeman,",9,675
"""where",9,676
bad,9,677
man.,9,678
you're,9,679
happy,9,680
original,9,681
final,9,682
stone,9,683
"up,",9,684
glass,9,685
breaking,9,686
he's,9,687
inspector,9,688
running,9,689
ratcliffe,9,690
town,9,691
renard,9,692
lantern,9,693
ten,8,694
"spoke,",8,695
darkness,8,696
impression,8,697
stepped,8,698
especially,8,699
trees,8,700
particular,8,701
laughed,8,702
middle,8,703
express,8,704
her,8,705
railway,8,706
whatever,8,707
station,8,708
whenever,8,709
exactly,8,710
bull's,8,711
"think,",8,712
dear,8,713
done,8,714
"smile,",8,715
seat,8,716
follow,8,717
realised,8,718
bent,8,719
rigid,8,720
coat,8,721
"again,",8,722
understood,8,723
"honour,",8,724
drink,8,725
awful,8,726
town.,8,727
dim,8,728
"""will",8,729
"anarchists,",8,730
"""yes,",8,731
thrown,8,732
foreign,8,733
inside,8,734
forgive,8,735
notion,8,736
tried,8,737
terrible,8,738
central,8,739
practical,8,740
general,8,741
somehow,8,742
form,8,743
"down,",8,744
"last,",8,745
hard,8,746
"mean?""",8,747
care,8,748
playing,8,749
question,8,750
quiet,8,751
listen,8,752
throw,8,753
started,8,754
room.,8,755
"you?""",8,756
vast,8,757
army,8,758
heart,8,759
idea,8,760
doubt,8,761
"""of",8,762
strong,8,763
empty,8,764
way.,8,765
leicester,8,766
conversation,8,767
"gogol,",8,768
rich,8,769
wicked,8,770
edge,8,771
paralytic,8,772
leant,8,773
bit,8,774
"off,",8,775
"""why,",8,776
sunday's,8,777
explain,8,778
paris,8,779
wood,8,780
ratcliffe.,8,781
horse,8,782
horses,8,783
together.,7,784
showed,7,785
thus,7,786
roared,7,787
pleasure,7,788
plain,7,789
dreadful,7,790
nor,7,791
often,7,792
chin,7,793
unnatural,7,794
past,7,795
less,7,796
brought,7,797
"pale,",7,798
third,7,799
she,7,800
commonly,7,801
"light,",7,802
sad,7,803
"""to",7,804
straight,7,805
"""mr.",7,806
grave,7,807
says,7,808
slight,7,809
one.,7,810
"head,",7,811
adventures,7,812
door,7,813
tree,7,814
person,7,815
possible,7,816
yourself,7,817
anarchist.,7,818
silence.,7,819
actual,7,820
inner,7,821
"little,",7,822
"pocket,",7,823
"slowly,",7,824
shot,7,825
threw,7,826
pair,7,827
shining,7,828
branch,7,829
calling,7,830
"that,",7,831
"council,",7,832
respect,7,833
days,7,834
dropped,7,835
"""as",7,836
beside,7,837
added,7,838
act,7,839
beastly,7,840
known,7,841
friends,7,842
faces,7,843
"man,""",7,844
fire,7,845
"""comrade",7,846
plans,7,847
"""our",7,848
company,7,849
"beard,",7,850
utterly,7,851
voice--,7,852
frightful,7,853
public,7,854
"sea,",7,855
stare,7,856
shaking,7,857
gesture,7,858
"hat,",7,859
curiosity.,7,860
"""for",7,861
"us.""",7,862
entirely,7,863
english,7,864
powerful,7,865
men.,7,866
innocent,7,867
horrible,7,868
buildings,7,869
leapt,7,870
rest,7,871
brain,7,872
"balcony,",7,873
lot,7,874
balcony,7,875
brown,7,876
that's,7,877
himself.,7,878
leap,7,879
energy,7,880
"that,""",7,881
"""let",7,882
hold,7,883
leaving,7,884
"""that's",7,885
"car,",7,886
quickly,7,887
i'll,7,888
fighting,7,889
spectacles,7,890
burning,7,891
fought,7,892
"cab,",7,893
"""has",7,894
field,7,895
"ducroix,",7,896
"ratcliffe,",7,897
advancing,7,898
flying,7,899
pistol,6,900
"oh,",6,901
met,6,902
surely,6,903
scientific,6,904
fierce,6,905
monstrous,6,906
vaguely,6,907
worth,6,908
literally,6,909
nerves,6,910
splendid,6,911
appeared,6,912
"no,",6,913
"word,",6,914
forehead.,6,915
"?""",6,916
"syme,""",6,917
finds,6,918
shadow,6,919
"anarchist,",6,920
"then?""",6,921
speak,6,922
passionate,6,923
barrel-organ,6,924
moving,6,925
feeling,6,926
"way,",6,927
"afterwards,",6,928
odd,6,929
itself.,6,930
"shadow,",6,931
fiery,6,932
"what?""",6,933
"anarchy,",6,934
bewildering,6,935
doing,6,936
"""in",6,937
perfectly,6,938
"sense,",6,939
damned,6,940
police.,6,941
rattling,6,942
"here,",6,943
received,6,944
hotel,6,945
light.,6,946
death.,6,947
manner,6,948
moral,6,949
opening,6,950
honour,6,951
hate,6,952
parade,6,953
keeping,6,954
"myself,",6,955
'you,6,956
blood,6,957
ready,6,958
"life,",6,959
furious,6,960
saying,6,961
spring,6,962
crowd,6,963
difference,6,964
partly,6,965
simply,6,966
strode,6,967
sharp,6,968
"know,",6,969
contrast,6,970
learn,6,971
christians,6,972
mysterious,6,973
stopped,6,974
"""i'm",6,975
eye,6,976
see.,6,977
prevent,6,978
tore,6,979
speaking,6,980
false,6,981
rising,6,982
sword-stick,6,983
up.,6,984
special,6,985
beginning,6,986
become,6,987
healthy,6,988
reached,6,989
getting,6,990
join,6,991
mind.,6,992
detectives,6,993
criminal,6,994
fully,6,995
"""how",6,996
universe,6,997
mankind,6,998
rank,6,999
shown,6,1000
"first,",6,1001
swept,6,1002
exquisite,6,1003
hours,6,1004
beautiful,6,1005
crooked,6,1006
grow,6,1007
case,6,1008
extraordinary,6,1009
breakfast,6,1010
"say,""",6,1011
effect,6,1012
turning,6,1013
"there,",6,1014
british,6,1015
space,6,1016
spectacles.,6,1017
symbol,6,1018
used,6,1019
finger,6,1020
"snow,",6,1021
scarcely,6,1022
sight,6,1023
yards,6,1024
"suddenly,",6,1025
"""because",6,1026
course,6,1027
"you.""",6,1028
"now,""",6,1029
lights,6,1030
"""dr.",6,1031
grass,6,1032
distance,6,1033
influence,6,1034
near,6,1035
isn't,6,1036
balloon,6,1037
carriages,6,1038
lost,5,1039
"laughter,",5,1040
death,5,1041
twisted,5,1042
decent,5,1043
weak,5,1044
day.,5,1045
tale,5,1046
devils,5,1047
doubts,5,1048
strength,5,1049
sunset.,5,1050
stranger,5,1051
houses,5,1052
dream.,5,1053
cause,5,1054
singular,5,1055
work,5,1056
cloud.,5,1057
law,5,1058
women,5,1059
place.,5,1060
arresting,5,1061
slow,5,1062
within,5,1063
expressed,5,1064
park.,5,1065
hair.,5,1066
wonder,5,1067
bomb,5,1068
burst,5,1069
stars,5,1070
inquired,5,1071
word.,5,1072
revolt,5,1073
girl,5,1074
flash,5,1075
"right,""",5,1076
"right,",5,1077
patch,5,1078
society,5,1079
away.,5,1080
force,5,1081
"garden,",5,1082
smell,5,1083
feet.,5,1084
everyone,5,1085
glory,5,1086
abrupt,5,1087
"""all",5,1088
present,5,1089
lamp,5,1090
"nothing,",5,1091
instinctively,5,1092
(if,5,1093
shocking,5,1094
steadily,5,1095
fall,5,1096
stones,5,1097
"""then",5,1098
hat.,5,1099
"""your",5,1100
idiotic,5,1101
"it?""",5,1102
"think,""",5,1103
address,5,1104
bank,5,1105
"dark,",5,1106
vague,5,1107
bring,5,1108
further,5,1109
waistcoat,5,1110
begun,5,1111
nearly,5,1112
was.,5,1113
passage,5,1114
steel,5,1115
several,5,1116
falling,5,1117
deny,5,1118
"""with",5,1119
attempt,5,1120
unless,5,1121
on.,5,1122
position,5,1123
war,5,1124
know.,5,1125
advice,5,1126
startling,5,1127
"night,",5,1128
bloody,5,1129
died,5,1130
promised,5,1131
"case,",5,1132
"stick,",5,1133
fresh,5,1134
"humanity,",5,1135
outer,5,1136
president.,5,1137
revolver,5,1138
"speak,",5,1139
question.,5,1140
policeman.,5,1141
"short,",5,1142
mass,5,1143
weary,5,1144
type,5,1145
sent,5,1146
show,5,1147
evidently,5,1148
irregular,5,1149
likely,5,1150
river,5,1151
seat.,5,1152
"""comrades,""",5,1153
elected,5,1154
post,5,1155
dynamite,5,1156
regarded,5,1157
"""does",5,1158
around,5,1159
"policy,",5,1160
"society,",5,1161
"rate,",5,1162
difficulty,5,1163
chairman,5,1164
ring,5,1165
off.,5,1166
worse,5,1167
risen,5,1168
anarchy,5,1169
pride,5,1170
"faces,",5,1171
shouted,5,1172
fat,5,1173
"""stop",5,1174
speech,5,1175
kill,5,1176
"""who",5,1177
accept,5,1178
"seat,",5,1179
shoulders,5,1180
boat,5,1181
following,5,1182
"door,",5,1183
driven,5,1184
father,5,1185
pretty,5,1186
morbid,5,1187
pocket,5,1188
flame,5,1189
days.,5,1190
fears,5,1191
control,5,1192
shook,5,1193
intellect,5,1194
surprised,5,1195
valour,5,1196
"blue,",5,1197
goes,5,1198
crime.,5,1199
"that?""",5,1200
personal,5,1201
highly,5,1202
evil,5,1203
trying,5,1204
"things,",5,1205
working,5,1206
flowers,5,1207
him;,5,1208
startled,5,1209
shape,5,1210
flower,5,1211
london.,5,1212
naked,5,1213
moon,5,1214
easily,5,1215
actually,5,1216
"mad,",5,1217
moon.,5,1218
attack,5,1219
"figure,",5,1220
spoken,5,1221
leaning,5,1222
meant,5,1223
natural,5,1224
try,5,1225
bed,5,1226
square.,5,1227
"suppose,",5,1228
sunlit,5,1229
"window,",5,1230
larger,5,1231
figures,5,1232
filled,5,1233
hell.,5,1234
scream,5,1235
down.,5,1236
president's,5,1237
play,5,1238
"gentleman,",5,1239
laughter.,5,1240
denied,5,1241
reminded,5,1242
crossed,5,1243
thinking,5,1244
glasses,5,1245
gravity,5,1246
extreme,5,1247
"tree,",5,1248
die.,5,1249
"together,",5,1250
balcony.,5,1251
occurred,5,1252
suggested,5,1253
drunk,5,1254
marquis.,5,1255
tomorrow,5,1256
kindly,5,1257
"least,",5,1258
die,5,1259
body,5,1260
sit,5,1261
fingers,5,1262
late,5,1263
able,5,1264
snow,5,1265
boots,5,1266
worms.,5,1267
miles,5,1268
coffee,5,1269
swinging,5,1270
crazy,5,1271
impulse,5,1272
bewildered,5,1273
farther,5,1274
"also,",5,1275
outrageous,5,1276
lighted,5,1277
german,5,1278
"sir,",5,1279
it!,5,1280
laid,5,1281
haven't,5,1282
insulted,5,1283
"it!""",5,1284
flaming,5,1285
"time,",5,1286
considerable,5,1287
"friends,",5,1288
supposed,5,1289
colour,5,1290
movements,5,1291
hats,5,1292
"back,",5,1293
worst,5,1294
wanted,5,1295
carriage,5,1296
i've,5,1297
cafe,5,1298
straw,5,1299
god!,5,1300
shoulder,5,1301
"them.""",5,1302
that.,5,1303
disappeared,5,1304
peasant,5,1305
descended,5,1306
"sir,""",5,1307
colonel.,5,1308
ball,5,1309
creation,5,1310
"yea,",4,1311
sick,4,1312
announced,4,1313
art,4,1314
children,4,1315
bitter,4,1316
lift,4,1317
bird,4,1318
cool,4,1319
"grey,",4,1320
lived,4,1321
riding,4,1322
colossal,4,1323
peace,4,1324
"london,",4,1325
artistic,4,1326
although,4,1327
philosophy,4,1328
discovered,4,1329
