Word,Freq,Rank
and,3271,1
the,2956,2
to,2217,3
of,2044,4
in,1361,5
his,1163,6
with,1153,7
or,690,8
from,684,9
that,681,10
all,647,11
their,591,12
i,562,13
as,557,14
but,549,15
a,541,16
not,535,17
by,512,18
on,507,19
he,500,20
for,432,21
so,423,22
thy,412,23
this,411,24
thou,396,25
what,383,26
they,356,27
be,323,28
her,314,29
thus,297,30
now,292,31
him,287,32
which,287,33
shall,282,34
our,275,35
at,269,36
who,268,37
my,257,38
thee,231,39
more,217,40
is,212,41
when,212,42
though,211,43
yet,209,44
nor,202,45
whom,197,46
no,193,47
me,185,48
was,185,49
we,182,50
had,181,51
heaven,177,52
them,177,53
where,168,54
if,167,55
god,166,56
then,166,57
will,158,58
such,156,59
how,149,60
have,145,61
than,144,62
through,142,63
first,140,64
these,140,65
us,138,66
can,127,67
one,126,68
it,123,69
great,122,70
may,121,71
while,119,72
high,118,73
hath,112,74
"and,",111,75
each,109,76
whose,107,77
into,107,78
far,107,79
"heaven,",106,80
other,106,81
till,104,82
like,100,83
earth,99,84
there,97,85
those,97,86
both,93,87
here,93,88
"thee,",93,89
might,92,90
she,92,91
up,90,92
some,88,93
man,87,94
were,86,95
let,85,96
ye,81,97
under,79,98
soon,78,99
still,77,100
less,77,101
"earth,",76,102
much,75,103
down,74,104
stood,74,105
must,73,106
things,72,107
o,72,108
day,72,109
new,72,110
fair,72,111
death,71,112
th',71,113
out,69,114
before,69,115
only,69,116
long,69,117
"me,",68,118
without,68,119
forth,68,120
could,66,121
own,66,122
are,66,123
against,65,124
made,65,125
should,65,126
good,64,127
well,63,128
over,63,129
among,63,130
place,62,131
find,61,132
hast,61,133
many,60,134
found,60,135
hand,59,136
hell,58,137
since,57,138
once,57,139
love,57,140
would,57,141
"god,",56,142
power,55,143
"not,",55,144
know,54,145
heaven's,53,146
your,53,147
"then,",53,148
above,51,149
light,51,150
none,51,151
within,50,152
adam,50,153
thence,49,154
part,49,155
oft,49,156
"man,",49,157
after,48,158
left,48,159
ere,48,160
happy,46,161
joy,46,162
heavenly,45,163
night,45,164
round,45,165
"him,",45,166
son,45,167
world,44,168
glory,44,169
evil,44,170
came,44,171
saw,44,172
"he,",43,173
eve,43,174
way,43,175
deep,42,176
most,42,177
wide,42,178
two,42,179
spirits,41,180
bright,41,181
last,41,182
sight,41,183
eternal,40,184
end,40,185
see,40,186
right,40,187
perhaps,40,188
men,40,189
replied.,40,190
"air,",39,191
best,39,192
air,39,193
never,38,194
words,38,195
full,38,196
seemed,38,197
"adam,",38,198
dark,37,199
too,37,200
side,37,201
nature,37,202
tree,36,203
whence,36,204
satan,36,205
fear,36,206
behold,36,207
art,36,208
"eve,",36,209
just,36,210
sweet,36,211
life,36,212
mean,36,213
"world,",35,214
thoughts,35,215
work,35,216
seat,35,217
hope,34,218
o'er,34,219
also,34,220
about,34,221
heart,33,222
else,33,223
spirit,33,224
head,33,225
human,33,226
beyond,33,227
"but,",33,228
fruit,32,229
"us,",32,230
ever,32,231
bring,32,232
eyes,32,233
every,32,234
sin,32,235
sun,32,236
ground,32,237
been,32,238
"them,",32,239
heard,32,240
"thou,",31,241
thought,31,242
called,31,243
mind,31,244
"son,",31,245
"night,",31,246
race,31,247
