Word,Freq,Rank
and,627,1
the,578,2
i,508,3
to,446,4
of,351,5
you,335,6
that,271,7
a,258,8
is,240,9
not,225,10
in,220,11
my,209,12
he,171,13
it,170,14
for,167,15
his,155,16
bru.,153,17
your,149,18
with,147,19
haue,144,20
this,140,21
be,140,22
will,140,23
but,138,24
me,132,25
as,129,26
shall,125,27
what,114,28
thou,110,29
do,108,30
cassi.,107,31
are,106,32
so,106,33
caesar,103,34
him,100,35
we,95,36
by,94,37
our,93,38
then,89,39
brutus,89,40
all,86,41
if,84,42
no,81,43
did,70,44
when,66,45
o,66,46
on,66,47
they,65,48
good,65,49
let,64,50
come,62,51
was,62,52
their,61,53
enter,57,54
at,57,55
thy,56,56
know,55,57
am,55,58
"brutus,",52,59
"caesar,",51,60
now,49,61
from,49,62
ant.,48,63
vs,47,64
vpon,46,65
would,44,66
or,44,67
which,42,68
why,41,69
there,41,70
heere,41,71
some,41,72
cassius,39,73
them,38,74
cask.,38,75
should,38,76
these,37,77
caesars,37,78
antony,37,79
brut.,37,80
such,37,81
must,36,82
like,36,83
men,35,84
go,35,85
giue,35,86
hath,35,87
tell,35,88
noble,35,89
were,35,90
thee,35,91
may,34,92
yet,34,93
"him,",34,94
heare,33,95
man,32,96
how,32,97
where,31,98
see,31,99
an,31,100
well,31,101
"me,",30,102
"cassius,",29,103
stand,29,104
one,29,105
most,28,106
who,28,107
euery,28,108
caes,28,109
luc.,28,110
doth,27,111
had,27,112
more,26,113
vp,26,114
loue,26,115
speake,26,116
great,25,117
make,25,118
"you,",25,119
"antony,",25,120
nor,24,121
any,24,122
too,23,123
much,23,124
art,22,125
selfe,22,126
exeunt.,22,127
lord,22,128
'tis,22,129
take,22,130
out,21,131
till,21,132
"men,",21,133
beare,21,134
cas.,21,135
day,21,136
mine,20,137
thinke,20,138
looke,20,139
marke,20,140
"sir,",19,141
can,19,142
"i,",19,143
messa.,19,144
feare,18,145
octa.,18,146
"rome,",17,147
time,17,148
"caska,",17,149
leaue,17,150
bid,17,151
hand,17,152
could,17,153
say,17,154
rome,17,155
"say,",16,156
about,16,157
put,16,158
finde,16,159
euen,16,160
por.,16,161
many,15,162
comes,15,163
off,15,164
death,15,165
"man,",15,166
neuer,15,167
"will,",15,168
night,15,169
"not,",15,170
stay,15,171
wee'l,15,172
heart,15,173
into,14,174
all.,14,175
downe,14,176
caesar:,14,177
him:,14,178
caesar.,14,179
"this,",14,180
you:,14,181
doe,14,182
done,14,183
word,14,184
"octauius,",14,185
made,13,186
ile,13,187
things,13,188
romans,13,189
hast,13,190
"then,",13,191
thus,13,192
vnto,13,193
"night,",13,194
cinna.,13,195
blood,13,196
"friends,",13,197
mark,13,198
wrong,13,199
"day,",12,200
best,12,201
bad,12,202
set,12,203
therefore,12,204
very,12,205
exit,12,206
morrow,12,207
honourable,12,208
"thee,",12,209
"messala,",12,210
get,11,211
euer,11,212
follow,11,213
caes.,11,214
shew,11,215
"selfe,",11,216
other,11,217
brutus.,11,218
might,11,219
hold,11,220
name,11,221
"so,",11,222
"gods,",11,223
hee,11,224
true,11,225
send,11,226
"lucius,",11,227
caius,11,228
ser.,11,229
1.,11,230
else,10,231
keepe,10,232
after,10,233
run,10,234
before,10,235
cass.,10,236
spirit,10,237
"friend,",10,238
"know,",10,239
people,10,240
meete,10,241
thing,10,242
farewell,10,243
beares,10,244
two,10,245
bring,10,246
"lord,",10,247
place,10,248
mighty,10,249
master,10,250
2.,10,251
titinius,10,252
philippi,10,253
directly,9,254
liue,9,255
gods,9,256
peace,9,257
sooth.,9,258
march,9,259
face,9,260
"againe,",9,261
onely,9,262
gentle,9,263
common,9,264
vnder,9,265
"them,",9,266
nothing,9,267
fire,9,268
so:,9,269
capitoll,9,270
being,9,271
fell,9,272
cry,9,273
it.,9,274
"that,",9,275
owne,9,276
"no,",9,277
meane,9,278
sure,9,279
those,9,280
"now,",9,281
better,9,282
full,9,283
roman,9,284
"death,",9,285
dye,9,286
"come,",9,287
friend,9,288
4.,9,289
"speake,",8,290
you?,8,291
answer,8,292
me:,8,293
them.,8,294
poore,8,295
way,8,296
strange,8,297
turne,8,298
friends,8,299
"feare,",8,300
"well,",8,301
him.,8,302
"titinius,",8,303
rather,8,304
words,8,305
"hand,",8,306
it:,8,307
"part,",8,308
forth,8,309
please,8,310
"fire,",8,311
against,8,312
"dead,",8,313
metellus,8,314
decius,8,315
first,8,316
brother,8,317
none,8,318
"heere,",8,319
"peace,",8,320
bloody,8,321
octauius,8,322
yong,8,323
3.,8,324
home,7,325
"what,",7,326
walke,7,327
old,7,328
saw,7,329
her,7,330
fall,7,331
so?,7,332
away,7,333
me?,7,334
antony:,7,335
"looke,",7,336
himselfe,7,337
meanes,7,338
worthy,7,339
eyes,7,340
"it,",7,341
honor,7,342
"once,",7,343
hearts,7,344
sicke,7,345
heard,7,346
seene,7,347
"hands,",7,348
durst,7,349
beene,7,350
three,7,351
me.,7,352
"yet,",7,353
"cause,",7,354
strong,7,355
body,7,356
welcome,7,357
cin.,7,358
hands,7,359
cause,7,360
let's,7,361
stirre,7,362
"boy,",7,363
she,7,364
read,7,365
did'st,7,366
3,7,367
2,7,368
"lucillius,",7,369
ill,7,370
messala,7,371
sword,7,372
"cato,",7,373
ouer,6,374
leade,6,375
pompeyes,6,376
pray,6,377
flye,6,378
"sayes,",6,379
"on,",6,380
tongue,6,381
ides,6,382
&,6,383
part,6,384
"eyes,",6,385
"loue,",6,386
loues,6,387
cassius:,6,388
cassius.,6,389
seeke,6,390
since,6,391
generall,6,392
both,6,393
"be,",6,394
ere,6,395
fit,6,396
"true,",6,397
"world,",6,398
ye,6,399
went,6,400
man.,6,401
this:,6,402
"done,",6,403
caska,6,404
sleepe,6,405
right,6,406
crowne,6,407
last,6,408
came,6,409
"downe,",6,410
there's,6,411
remember,6,412
enter.,6,413
left,6,414
"life,",6,415
vile,6,416
"vs,",6,417
lucius.,6,418
lord?,6,419
call,6,420
kill,6,421
lye,6,422
hide,6,423
fetch,6,424
portia,6,425
within,6,426
talke,6,427
deere,6,428
