Word,Freq,Rank
the,992,1
and,860,2
to,683,3
of,605,4
i,520,5
my,499,6
a,497,7
you,449,8
in,377,9
it,349,10
that,341,11
ham.,337,12
is,296,13
his,283,14
not,268,15
your,253,16
with,249,17
but,248,18
this,238,19
for,227,20
as,196,21
what,190,22
he,189,23
be,174,24
haue,171,25
me,164,26
so,153,27
will,139,28
our,130,29
we,126,30
are,117,31
him,116,32
no,114,33
if,110,34
on,108,35
shall,106,36
by,103,37
or,102,38
thou,101,39
king.,96,40
hor.,95,41
let,94,42
then,92,43
good,91,44
thy,90,45
all,87,46
from,86,47
they,86,48
do,85,49
how,85,50
her,83,51
lord,83,52
at,81,53
most,77,54
more,76,55
was,75,56
like,73,57
"lord,",73,58
enter,72,59
oh,71,60
now,68,61
come,67,62
would,66,63
'tis,62,64
qu.,62,65
may,61,66
there,60,67
laer.,60,68
know,59,69
giue,58,70
ile,58,71
hath,57,72
must,57,73
did,56,74
ophe.,56,75
should,54,76
which,53,77
an,53,78
make,52,79
why,52,80
when,51,81
where,51,82
such,51,83
vpon,50,84
very,49,85
pol.,49,86
am,48,87
their,48,88
them,45,89
some,45,90
had,44,91
selfe,43,92
speake,43,93
doe,43,94
rosin.,43,95
much,42,96
these,42,97
she,42,98
hamlet,41,99
tell,41,100
king,40,101
too,40,102
out,40,103
thee,39,104
one,39,105
well,38,106
polon.,38,107
thinke,37,108
vs,37,109
mine,37,110
yet,36,111
go,36,112
see,35,113
who,34,114
heere,34,115
say,34,116
th',33,117
"sir,",33,118
lord?,33,119
loue,33,120
take,32,121
thus,32,122
can,32,123
nor,32,124
mar.,31,125
o,31,126
"it,",31,127
man,31,128
could,31,129
"you,",30,130
time,29,131
father,29,132
clo.,29,133
looke,28,134
might,28,135
owne,28,136
"king,",28,137
"him,",28,138
"come,",27,139
whose,27,140
doth,27,141
"hamlet,",27,142
cannot,27,143
vp,26,144
pray,26,145
into,26,146
were,26,147
&,25,148
heare,25,149
hold,24,150
made,24,151
neuer,24,152
call,23,153
"i,",22,154
though,22,155
exeunt.,22,156
leaue,22,157
both,22,158
put,22,159
set,22,160
"me,",22,161
hast,21,162
hamlet.,21,163
two,20,164
against,20,165
euen,20,166
"no,",20,167
sweet,20,168
guild.,20,169
heauen,19,170
comes,19,171
dead,19,172
those,19,173
deere,19,174
him.,19,175
i'th',19,176
till,19,177
great,19,178
poore,19,179
night,18,180
exit,18,181
thing,18,182
nothing,18,183
head,18,184
shew,18,185
fathers,18,186
"loue,",18,187
mother,18,188
"not,",18,189
hee,18,190
play,18,191
osr.,18,192
"well,",17,193
"horatio,",17,194
"vs,",17,195
any,17,196
about,17,197
does,17,198
queene,17,199
beleeue,16,200
world,16,201
indeed,16,202
sir,16,203
there's,16,204
againe,15,205
that's,15,206
"selfe,",15,207
art,15,208
god,15,209
"laertes,",15,210
"death,",15,211
old,15,212
noble,15,213
"nay,",15,214
"heauen,",15,215
ere,15,216
you:,15,217
this?,15,218
bee,15,219
soule,15,220
keepe,15,221
meanes,15,222
"so,",15,223
betweene,15,224
goe,15,225
makes,15,226
ha's,14,227
seene,14,228
faire,14,229
before,14,230
me.,14,231
feare,14,232
many,14,233
since,14,234
matter,14,235
kin.,14,236
stand,13,237
long,13,238
liue,13,239
you?,13,240
therefore,13,241
same,13,242
part,13,243
hand,13,244
it.,13,245
"life,",13,246
finde,13,247
beare,13,248
still,13,249
nature,13,250
"mother,",13,251
wee'l,13,252
enter.,13,253
"soule,",13,254
words,13,255
lord.,13,256
follow,13,257
madnesse,13,258
off,13,259
sent,13,260
reynol.,13,261
mad,13,262
players,13,263
horatio,12,264
once,12,265
something,12,266
without,12,267
true,12,268
vse,12,269
o're,12,270
"queene,",12,271
farre,12,272
better,12,273
thoughts,12,274
"father,",12,275
saw,12,276
beene,12,277
laertes,12,278
"now,",12,279
bring,12,280
"this,",12,281
other.,12,282
nay,11,283
heart,11,284
"say,",11,285
welcome,11,286
downe,11,287
away,11,288
is't,11,289
other,11,290
life,11,291
euer,11,292
"ophelia,",11,293
death,11,294
what's,11,295
little,11,296
first,11,297
eare,11,298
day,11,299
"time,",11,300
each,11,301
none,11,302
speech,11,303
after,11,304
dost,11,305
verie,11,306
barn.,10,307
"night,",10,308
"downe,",10,309
ghost.,10,310
marke,10,311
forme,10,312
denmarke,10,313
me?,10,314
goes,10,315
being,10,316
him:,10,317
best,10,318
"be,",10,319
excellent,10,320
within,10,321
"then,",10,322
"indeed,",10,323
foule,10,324
vertue,10,325
"oh,",10,326
remember,10,327
giuen,10,328
let's,10,329
fit,10,330
done,10,331
"is,",10,332
end,10,333
guil.,10,334
play.,10,335
england,10,336
me:,9,337
get,9,338
"all,",9,339
hora.,9,340
question,9,341
eyes,9,342
thought,9,343
so:,9,344
(as,9,345
ghost,9,346
grace,9,347
me;,9,348
oft,9,349
further,9,350
full,9,351
"heart,",9,352
kinde,9,353
thine,9,354
earth,9,355
"againe,",9,356
polonius.,9,357
winde,9,358
"too,",9,359
draw,9,360
"out,",9,361
gho.,9,362
rest,9,363
'twere,9,364
cause,9,365
three,9,366
pyrrhus,9,367
"go,",9,368
fran.,8,369
honest,8,370
"what,",8,371
watch,8,372
sit,8,373
last,8,374
fell,8,375
young,8,376
stay,8,377
"earth,",8,378
yong,8,379
brothers,8,380
whole,8,381
businesse,8,382
newes,8,383
came,8,384
seeke,8,385
minde,8,386
"dead,",8,387
you.,8,388
sonne,8,389
things,8,390
body,8,391
"man,",8,392
while,8,393
both.,8,394
all.,8,395
that?,8,396
himselfe,8,397
deare,8,398
else,8,399
way,8,400
second,8,401
euery,8,402
please,8,403
"marry,",8,404
free,8,405
heard,8,406
wilt,8,407
"friends,",8,408
"sword,",8,409
sweare,8,410
lay,8,411
seeme,8,412
thousand,8,413
answer,7,414
bar.,7,415
friends,7,416
breake,7,417
maiesty,7,418
"thee,",7,419
"god,",7,420
"on,",7,421
strange,7,422
"fortinbras,",7,423
bin,7,424
"done,",7,425
walke,7,426
"day,",7,427
spirit,7,428
power,7,429
"nature,",7,430
duty,7,431
doubt,7,432
reason,7,433
beseech,7,434
through,7,435
"madam,",7,436
common,7,437
seemes,7,438
"know,",7,439
"sonne,",7,440
kings,7,441
well:,7,442
drinke,7,443
"gentlemen,",7,444
almost,7,445
it?,7,446
"away,",7,447
top,7,448
ye,7,449
"youth,",7,450
neere,7,451
"himselfe,",7,452
you;,7,453
thee.,7,454
marry,7,455
giues,7,456
tongue,7,457
ayre,7,458
now?,7,459
meane,7,460
custome,7,461
within.,7,462
sword,7,463
breath,7,464
passion,7,465
selues,7,466
loue.,7,467
guildensterne.,7,468
hamlets,7,469
men,7,470
receiue,7,471
thanke,7,472
it:,7,473
daughter,7,474
gaue,7,475
wee,7,476
right,7,477
lye,7,478
"watch,",6,479
bid,6,480
them.,6,481
"eyes,",6,482
"gone,",6,483
cast,6,484
hot,6,485
"do,",6,486
"vp,",6,487
"polonius,",6,488
"eye,",6,489
"that,",6,490
farewell.,6,491
queen.,6,492
eye,6,493
alone,6,494
shewes,6,495
heauens,6,496
face,6,497
name,6,498
faith,6,499
"them,",6,500
word,6,501
fare,6,502
fashion,6,503
youth,6,504
grow,6,505
seruice,6,506
it;,6,507
here,6,508
double,6,509
true:,6,510
false,6,511
ophelia,6,512
vnderstand,6,513
foole,6,514
takes,6,515
keepes,6,516
"why,",6,517
alas,6,518
reuenge,6,519
"bed,",6,520
damned,6,521
offence,6,522
helpe,6,523
ought,6,524
iudgement,6,525
greefe,6,526
"will,",6,527
"rosincrance,",6,528
"her,",6,529
hamlet?,6,530
fortunes,6,531
"fortune,",6,532
bad,6,533
"world,",6,534
he's,6,535
"more,",6,536
blood,6,537
purpose,6,538
poyson,6,539
"gertrude,",6,540
fine,6,541
bed,5,542
quiet,5,543
peece,5,544
buried,5,545
look,5,546
state,5,547
do's,5,548
fortinbras,5,549
"which,",5,550
vnto,5,551
"soft,",5,552
"heard,",5,553
"fire,",5,554
"spirit,",5,555
'gainst,5,556
gracious,5,557
"state,",5,558
late,5,559
lost,5,560
writ,5,561
told,5,562
laertes?,5,563
dread,5,564
pardon,5,565
lesse,5,566
friend,5,567
so.,5,568
this:,5,569
teares,5,570
wicked,5,571
"friend,",5,572
teach,5,573
mothers,5,574
horatio.,5,575
thinkes,5,576
act,5,577
hands,5,578
tis,5,579
pale,5,580
ophelia.,5,581
effect,5,582
brother,5,583
mans,5,584
neither,5,585
said,5,586
you'l,5,587
light,5,588
"heere,",5,589
"hell,",5,590
action,5,591
cries,5,592
desperate,5,593
shalt,5,594
dayes,5,595
"blood,",5,596
fat,5,597
went,5,598
"hand,",5,599
table,5,600
sure,5,601
"ho,",5,602
needs,5,603
circumstance,5,604
"faith,",5,605
vnder,5,606
fellow,5,607
armes,5,608
borne,5,609
another,5,610
generall,5,611
heere's,5,612
in's,5,613
not?,5,614
guildensterne,5,615
queene.,5,616
found,5,617
whereon,5,618
ill,5,619
vilde,5,620
round,5,621
"said,",5,622
too't,5,623
sir:,5,624
saue,5,625
mee,5,626
woman,5,627
players.,5,628
them:,5,629
'twas,5,630
honor,5,631
onely,5,632
"he,",5,633
blacke,5,634
anon,5,635
fall,5,636
drowne,5,637
conscience,5,638
hope,5,639
age,5,640
death.,5,641
danish,5,642
"o,",5,643
times,5,644
husband,5,645
"thoughts,",5,646
mother.,5,647
e'ene,5,648
"helpe,",5,649
noise,5,650
"england,",5,651
letters,5,652
for.,5,653
graue,5,654
wager,5,655
scull,5,656
barnardo,4,657
there?,4,658
houre,4,659
goodnight.,4,660
meet,4,661
marcellus.,4,662
ground,4,663
marcellus,4,664
twice,4,665
'twill,4,666
nights,4,667
course,4,668
t',4,669
king?,4,670
together,4,671
warlike,4,672
sometimes,4,673
charge,4,674
gone,4,675
particular,4,676
not:,4,677
"land,",4,678
cannon,4,679
"norway,",4,680
knowne,4,681
lands,4,682
"there,",4,683
list,4,684
"voyce,",4,685
treasure,4,686
spirits,4,687
"wrong,",4,688
"speake,",4,689
cocke,4,690
whether,4,691
truth,4,692
season,4,693
wherein,4,694
impart,4,695
dumbe,4,696
morning,4,697
memory,4,698
"greefe,",4,699
"sister,",4,700
"ioy,",4,701
dreame,4,702
law,4,703
commend,4,704
"nothing,",4,705
loose,4,706
would'st,4,707
"mouth,",4,708
