Word,Freq,Rank
the,645,1
and,544,2
to,383,3
of,337,4
i,314,5
a,238,6
that,220,7
my,201,8
in,195,9
is,175,10
you,166,11
with,152,12
not,145,13
his,143,14
macb.,137,15
it,134,16
be,132,17
your,126,18
our,123,19
but,120,20
haue,119,21
he,107,22
for,107,23
what,100,24
this,95,25
as,85,26
thou,85,27
we,82,28
which,78,29
so,78,30
enter,74,31
me,74,32
all,73,33
will,69,34
they,68,35
shall,67,36
are,65,37
no,63,38
their,62,39
vpon,58,40
macd.,58,41
then,57,42
from,56,43
him,56,44
thy,56,45
hath,52,46
yet,52,47
on,51,48
at,49,49
by,47,50
would,45,51
was,44,52
thee,43,53
good,42,54
if,42,55
vs,42,56
lady.,41,57
who,40,58
should,40,59
rosse.,40,60
now,40,61
when,39,62
were,38,63
did,38,64
make,38,65
do,38,66
or,37,67
like,37,68
more,37,69
must,36,70
her,36,71
come,36,72
ile,35,73
'tis,35,74
let,35,75
where,34,76
had,32,77
how,32,78
why,31,79
doe,30,80
great,30,81
there,29,82
exeunt.,29,83
am,29,84
may,29,85
an,28,86
macbeth,26,87
th',26,88
know,26,89
them,26,90
mal.,25,91
see,25,92
one,25,93
can,24,94
nor,24,95
giue,24,96
"macbeth,",24,97
banq.,24,98
such,24,99
those,24,100
scena,22,101
say,22,102
these,22,103
most,22,104
1.,21,105
things,21,106
"me,",21,107
looke,21,108
la.,21,109
time,21,110
till,20,111
cannot,20,112
lenox.,20,113
speake,20,114
vp,20,115
mine,20,116
doct.,20,117
too,19,118
thane,19,119
done,19,120
"time,",19,121
wife.,19,122
king.,18,123
"king,",18,124
"him,",18,125
"sir,",18,126
heare,18,127
"lord,",17,128
&,17,129
night,17,130
though,17,131
take,17,132
she,17,133
some,17,134
all.,16,135
man,16,136
out,16,137
feare,16,138
euery,16,139
put,16,140
"well,",16,141
do's,16,142
ere,15,143
"come,",15,144
king,15,145
worthy,15,146
selfe,15,147
i'th',15,148
both,15,149
owne,15,150
heere,15,151
poore,15,152
ha's,15,153
malc.,15,154
3.,14,155
against,14,156
shew,14,157
"you,",14,158
before,14,159
whose,14,160
there's,14,161
could,14,162
"i,",14,163
son.,14,164
three,13,165
bloody,13,166
haile,13,167
o,13,168
well,13,169
strange,13,170
o'th',13,171
without,13,172
each,13,173
"say,",13,174
banquo,13,175
"banquo,",13,176
pray,13,177
heart,13,178
"it,",13,179
blood,13,180
sey.,13,181
2.,12,182
nature,12,183
new,12,184
goe,12,185
god,12,186
noble,12,187
into,12,188
nothing,12,189
made,12,190
exit,12,191
keepe,12,192
neuer,12,193
what's,12,194
leaue,11,195
comes,11,196
very,11,197
sleepe,11,198
day,11,199
"not,",11,200
much,11,201
way,11,202
finde,11,203
art,11,204
"them,",11,205
still,11,206
dare,11,207
1,11,208
gent.,11,209
mac.,10,210
name,10,211
thinke,10,212
whom,10,213
euen,10,214
else,10,215
heauen,10,216
againe,10,217
stand,10,218
go,10,219
lord,10,220
two,9,221
get,9,222
here,9,223
thus,9,224
royall,9,225
tell,9,226
within,9,227
onely,9,228
life,9,229
beene,9,230
me.,9,231
loue,9,232
full,9,233
you:,9,234
thought,9,235
being,9,236
macbeth.,9,237
that's,9,238
borne,9,239
bring,9,240
about,9,241
"feare,",9,242
knock.,9,243
many,9,244
first,9,245
wood,9,246
"lenox,",8,247
"thee,",8,248
cawdor,8,249
hang,8,250
is't,8,251
once,8,252
you.,8,253
beare,8,254
call,8,255
lesse,8,256
other,8,257
