Word,Freq,Rank
the,9991,1
and,5276,2
of,4240,3
i,2778,4
to,2132,5
in,1838,6
a,1249,7
with,1237,8
you,1176,9
is,1074,10
my,1000,11
or,996,12
for,928,13
all,819,14
that,817,15
as,788,16
not,780,17
from,698,18
it,641,19
on,597,20
are,566,21
me,555,22
o,547,23
by,475,24
at,468,25
be,457,26
what,452,27
they,442,28
but,403,29
},381,30
his,373,31
see,370,32
your,360,33
their,358,34
have,346,35
we,309,36
"me,",292,37
one,291,38
he,288,39
this,280,40
these,275,41
will,260,42
through,259,43
shall,258,44
nor,256,45
no,254,46
now,247,47
out,245,48
do,241,49
its,237,50
old,228,51
so,227,52
them,224,53
am,224,54
than,220,55
thy,220,56
where,217,57
"you,",215,58
yet,212,59
how,212,60
there,207,61
who,206,62
more,203,63
was,186,64
any,183,65
every,180,66
those,179,67
thou,168,68
her,167,69
over,164,70
some,160,71
"all,",156,72
here,154,73
know,154,74
has,153,75
long,151,76
upon,149,77
up,148,78
"them,",146,79
great,145,80
life,142,81
man,141,82
an,134,83
many,132,84
ever,131,85
each,130,86
if,128,87
after,125,88
never,125,89
him,124,90
come,123,91
when,123,92
hear,121,93
then,120,94
love,120,95
men,119,96
only,116,97
day,116,98
own,114,99
like,113,100
give,113,101
thee,109,102
she,107,103
young,105,104
myself,104,105
our,103,106
earth,101,107
think,100,108
night,99,109
were,97,110
"earth,",96,111
soul,95,112
"love,",91,113
"thee,",91,114
time,91,115
again,91,116
too,90,117
can,90,118
little,89,119
would,89,120
while,88,121
down,88,122
face,88,123
good,85,124
new,85,125
body,84,126
before,84,127
look,84,128
"soul,",83,129
go,82,130
toward,82,131
which,82,132
under,80,133
"night,",80,134
me.,80,135
other,79,136
far,79,137
may,78,138
well,78,139
make,77,140
saw,77,141
till,74,142
hand,73,143
let,72,144
around,72,145
last,72,146
just,72,147
"life,",71,148
pass,71,149
others,71,150
"death,",70,151
nothing,70,152
take,70,153
"it,",70,154
song,68,155
much,68,156
back,68,157
without,68,158
"world,",67,159
must,67,160
strong,67,161
sing,66,162
full,64,163
same,64,164
perfect,63,165
such,62,166
sea,62,167
land,62,168
dead,62,169
thought,62,170
white,61,171
forth,61,172
women,61,173
always,61,174
"sea,",60,175
years,60,176
us,59,177
city,59,178
two,59,179
beautiful,59,180
"here,",57,181
"myself,",57,182
along,57,183
stand,57,184
voice,57,185
does,57,186
something,56,187
been,56,188
"not,",55,189
eyes,55,190
high,55,191
death,55,192
say,54,193
sweet,54,194
divine,54,195
pioneers!,54,196
still,53,197
most,53,198
you.,53,199
cannot,53,200
world,53,201
sun,53,202
"long,",52,203
"him,",52,204
close,52,205
mother,52,206
light,51,207
even,51,208
dear,51,209
woman,51,210
amid,51,211
"on,",50,212
heard,50,213
singing,50,214
away,50,215
could,50,216
word,49,217
"time,",49,218
off,49,219
"rest,",49,220
"day,",48,221
first,48,222
open,48,223
part,48,224
within,47,225
none,47,226
place,47,227
"air,",47,228
side,46,229
whole,46,230
words,46,231
head,46,232
air,46,233
tell,46,234
"see,",45,235
past,45,236
had,45,237
work,45,238
ship,44,239
rest,44,240
"man,",44,241
once,44,242
to-day,44,243
among,44,244
comes,44,245
should,43,246
things,43,247
"again,",43,248
war,42,249
"old,",42,250
states,42,251
silent,42,252
leaves,42,253
"men,",42,254
thing,42,255
red,42,256
call,42,257
alone,41,258
"eyes,",41,259
vast,41,260
really,41,261
thousand,41,262
fields,41,263
beyond,41,264
why,41,265
rise,41,266
"only,",41,267
clear,41,268
whoever,41,269
them.,41,270
best,41,271
walk,41,272
"i,",40,273
lands,40,274
real,40,275
round,40,276
wild,40,277
sound,40,278
"hand,",40,279
soon,40,280
behold,39,281
very,39,282
hands,39,283
chant,38,284
living,38,285
welcome,38,286
"there,",38,287
days,38,288
large,37,289
poems,37,290
passing,37,291
present,37,292
true,37,293
songs,37,294
leave,37,295
2,37,296
another,37,297
into,37,298
"alone,",36,299
1,36,300
house,36,301
spirit,35,302
free,35,303
else,35,304
whatever,35,305
near,35,306
western,35,307
become,35,308
joy,35,309
[book,34,310
"lands,",34,311
"are,",34,312
"states,",34,313
children,34,314
"woods,",34,315
show,34,316
"body,",33,317
"itself,",33,318
mighty,33,319
themselves,33,320
"face,",33,321
faces,33,322
stars,33,323
mine,33,324
"sun,",33,325
hold,33,326
black,33,327
sit,33,328
against,33,329
cities,33,330
"songs,",32,331
ships,32,332
"waves,",32,333
"land,",32,334
(the,32,335
itself,32,336
hour,32,337
"words,",32,338
dark,32,339
about,32,340
indeed,32,341
"more,",32,342
"war,",31,343
also,31,344
"lo,",31,345
feel,31,346
you!,31,347
"america,",31,348
(i,31,349
put,31,350
way,31,351
believe,31,352
"now,",31,353
"us,",31,354
curious,31,355
"come,",30,356
"one,",30,357
shape,30,358
few,30,359
ye,30,360
3,30,361
forever,30,362
child,30,363
broad,30,364
"years,",30,365
"poems,",29,366
"voice,",29,367
strange,29,368
countless,29,369
henceforth,29,370
"women,",29,371
touch,29,372
sight,29,373
"sky,",29,374
yourself,29,375
"light,",29,376
grass,28,377
immortal,28,378
above,28,379
left,28,380
man's,28,381
less,28,382
waves,28,383
moment,28,384
behind,28,385
ocean,28,386
find,28,387
me!,28,388
turn,28,389
peace,28,390
bring,28,391
waters,28,392
keep,27,393
o'er,27,394
"last,",27,395
"north,",27,396
whose,27,397
"these,",27,398
need,27,399
done,27,400
came,27,401
goes,27,402
did,27,403
race,27,404
sleep,27,405
lips,27,406
pass'd,27,407
low,27,408
year,27,409
(for,26,410
unseen,26,411
surely,26,412
"space,",26,413
"stars,",26,414
god,26,415
north,26,416
america,26,417
fresh,26,418
"south,",26,419
name,26,420
"cities,",26,421
duly,26,422
"blood,",26,423
blood,26,424
stands,26,425
"shore,",26,426
holding,26,427
"go,",26,428
heart,26,429
"children,",26,430
music,25,431
endless,25,432
human,25,433
"past,",25,434
often,25,435
return,25,436
right,25,437
me?,25,438
you?,25,439
home,25,440
might,25,441
water,25,442
son,25,443
west,25,444
"dead,",25,445
fall,25,446
gray,25,447
whom,25,448
fill,25,449
ground,25,450
moon,25,451
"god,",25,452
arms,25,453
"trees,",24,454
sail,24,455
himself,24,456
rising,24,457
law,24,458
"mother,",24,459
"nothing,",24,460
speak,24,461
"west,",24,462
4,24,463
"good,",24,464
summer,24,465
sounds,24,466
shore,24,467
early,24,468
looking,24,469
lost,24,470
"head,",24,471
huge,24,472
swear,24,473
streets,24,474
greater,23,475
spread,23,476
thee.,23,477
waiting,23,478
play,23,479
"up,",23,480
"yet,",23,481
space,23,482
"things,",23,483
woods,23,484
trees,23,485
"song,",23,486
holds,23,487
joys,23,488
death.,23,489
"same,",23,490
lay,23,491
steady,23,492
distant,23,493
waits,23,494
common,23,495
delicate,23,496
rich,23,497
"well,",23,498
shapes,23,499
served,23,500
winds,22,501
"mine,",22,502
"woman,",22,503
small,22,504
fill'd,22,505
certain,22,506
"nature,",22,507
breast,22,508
though,22,509
deep,22,510
swiftly,22,511
feet,22,512
soul.,22,513
between,22,514
understand,22,515
look'd,22,516
wait,22,517
calm,22,518
"silent,",22,519
loved,22,520
falling,22,521
walks,22,522
single,22,523
unknown,22,524
voices,22,525
"water,",22,526
perhaps,22,527
"farms,",22,528
"peace,",22,529
"far,",21,530
modern,21,531
march,21,532
stood,21,533
silently,21,534
all.,21,535
"city,",21,536
south,21,537
poet,21,538
shores,21,539
age,21,540
hair,21,541
person,21,542
three,21,543
ages,21,544
clouds,21,545
made,21,546
"thou,",21,547
bear,20,548
"politics,",20,549
soldiers,20,550
use,20,551
times,20,552
equal,20,553
"also,",20,554
going,20,555
"work,",20,556
proud,20,557
meet,20,558
coming,20,559
nature,20,560
"heart,",20,561
breath,20,562
enough,20,563
lie,20,564
solemn,20,565
fierce,20,566
together,20,567
teeming,20,568
"sing,",19,569
"beauty,",19,570
haply,19,571
"in,",19,572
ancient,19,573
"themselves,",19,574
(as,19,575
power,19,576
sailing,19,577
river,19,578
"persons,",19,579
"for,",19,580
"together,",19,581
future,19,582
hundred,19,583
east,19,584
5,19,585
"enough,",19,586
seen,19,587
"days,",19,588
walking,19,589
public,19,590
houses,19,591
loving,19,592
"down,",19,593
mountains,19,594
ah,19,595
"out,",19,596
crowd,19,597
better,19,598
"away,",19,599
"ground,",19,600
friend,19,601
"done,",19,602
wind,19,603
"ships,",19,604
said,18,605
female,18,606
returning,18,607
sky,18,608
beneath,18,609
known,18,610
solid,18,611
(o,18,612
flowing,18,613
having,18,614
6,18,615
found,18,616
half,18,617
"is,",18,618
forward,18,619
"that,",18,620
"friend,",18,621
"grass,",18,622
"streets,",18,623
loud,18,624
green,18,625
sure,18,626
flag,18,627
"child,",18,628
shows,18,629
whether,18,630
brought,18,631
neck,18,632
lies,18,633
thoughts,18,634
"over,",18,635
mystic,18,636
flesh,18,637
"joy,",18,638
neither,18,639
winter,18,640
swift,18,641
"hands,",18,642
"forth,",18,643
doubt,18,644
general,18,645
remain,18,646
measureless,18,647
separate,17,648
form,17,649
making,17,650
"any,",17,651
eternal,17,652
blue,17,653
star,17,654
"be,",17,655
latent,17,656
"future,",17,657
ceaseless,17,658
seek,17,659
people,17,660
"close,",17,661
father,17,662
below,17,663
press,17,664
"people,",17,665
manly,17,666
morning,17,667
"other,",17,668
"present,",17,669
born,17,670
"lovers,",17,671
passage,17,672
beach,17,673
ample,17,674
moving,17,675
forget,17,676
"home,",17,677
announce,17,678
chants,16,679
set,16,680
"age,",16,681
poets,16,682
sad,16,683
beauty,16,684
"thought,",16,685
across,16,686
rivers,16,687
learn'd,16,688
knew,16,689
stop,16,690
fully,16,691
"race,",16,692
leaving,16,693
it.,16,694
"shores,",16,695
brown,16,696
globe,16,697
matter,16,698
onward,16,699
held,16,700
earth.,16,701
mind,16,702
"river,",16,703
natural,16,704
live,16,705
arm,16,706
"fields,",16,707
limbs,16,708
gave,16,709
follow,16,710
cool,16,711
friendly,16,712
hills,16,713
myriads,16,714
bright,16,715
heroes,16,716
mark,16,717
cut,16,718
manhattan,16,719
slow,16,720
hot,16,721
"side,",16,722
lightly,16,723
except,16,724
"sleep,",16,725
joy!,16,726
hence,16,727
"waters,",16,728
appear,16,729
"return,",15,730
advance,15,731
"faith,",15,732
"feet,",15,733
pride,15,734
"mountains,",15,735
"forms,",15,736
lovers,15,737
wherever,15,738
shining,15,739
varied,15,740
rude,15,741
strike,15,742
spiritual,15,743
7,15,744
evil,15,745
"sake,",15,746
8,15,747
pensive,15,748
"universe,",15,749
"rivers,",15,750
"her,",15,751
ones,15,752
youth,15,753
looks,15,754
aside,15,755
bloody,15,756
roll,15,757
late,15,758
room,15,759
remember,15,760
mother's,15,761
boy,15,762
moves,15,763
gives,15,764
beat,15,765
again.,15,766
love.,15,767
"animals,",15,768
grow,15,769
"near,",15,770
"friends,",15,771
"heroes,",15,772
cold,15,773
fit,15,774
"wars,",15,775
already,15,776
road,15,777
"know,",15,778
persons,15,779
yellow,15,780
northern,15,781
gather,15,782
"faces,",15,783
precious,15,784
banner,15,785
earth's,14,786
"name,",14,787
equally,14,788
sing.,14,789
laws,14,790
phantom,14,791
brave,14,792
spreading,14,793
"thoughts,",14,794
"laws,",14,795
carrying,14,796
"strong,",14,797
ready,14,798
delicious,14,799
answer,14,800
lover,14,801
"own,",14,802
walk'd,14,803
eastern,14,804
forests,14,805
smoke,14,806
heaven,14,807
"best,",14,808
soft,14,809
"neck,",14,810
float,14,811
foot,14,812
happy,14,813
lead,14,814
comrade,14,815
"place,",14,816
"content,",14,817
tender,14,818
pale,14,819
taking,14,820
"house,",14,821
"dark,",14,822
square,14,823
wounded,14,824
"darkness,",14,825
poor,14,826
call'd,14,827
knows,14,828
seeking,14,829
"himself,",14,830
"calm,",14,831
draw,14,832
savage,14,833
may-be,14,834
fair,14,835
hast,14,836
i'd,14,837
pleas'd,13,838
brain,13,839
male,13,840
terrible,13,841
longer,13,842
sails,13,843
art,13,844
eidolons.,13,845
"joys,",13,846
read,13,847
gone,13,848
mere,13,849
provided,13,850
master,13,851
rapt,13,852
fire,13,853
nations,13,854
soil,13,855
finally,13,856
comrades,13,857
"way,",13,858
because,13,859
love!,13,860
crossing,13,861
breathe,13,862
"arms,",13,863
"health,",13,864
transparent,13,865
limitless,13,866
bearing,13,867
growing,13,868
receive,13,869
perceive,13,870
borne,13,871
"crowd,",13,872
went,13,873
thick,13,874
bending,13,875
underneath,13,876
object,13,877
slowly,13,878
"others,",13,879
"nations,",13,880
blow,13,881
greatest,13,882
odor,13,883
naked,13,884
faith,13,885
enter,13,886
seas,13,887
"form,",13,888
lesson,13,889
drawn,13,890
"clouds,",13,891
solitary,13,892
midnight,13,893
fallen,13,894
"gone,",13,895
carefully,13,896
bodies,13,897
grave,13,898
inland,13,899
growth,13,900
forms,13,901
dream'd,13,902
"moon,",13,903
"beautiful,",13,904
sacred,13,905
procession,13,906
watch,13,907
parts,13,908
spring,13,909
memories,13,910
"wife,",13,911
unfolded,13,912
"seas,",13,913
"ranks,",13,914
"battle,",13,915
"freedom,",13,916
thine,13,917
peaceful,13,918
"chant,",13,919
vigil,13,920
"soldiers,",13,921
immense,12,922
"power,",12,923
book,12,924
field,12,925
firm,12,926
flow,12,927
dim,12,928
prove,12,929
send,12,930
idea,12,931
objects,12,932
raise,12,933
songs.,12,934
"hear,",12,935
fear,12,936
midst,12,937
makes,12,938
wife,12,939
"identity,",12,940
"globe,",12,941
masses,12,942
cover'd,12,943
"prairies,",12,944
"everywhere,",12,945
wafted,12,946
"advancing,",12,947
salute,12,948
american,12,949
lift,12,950
"too,",12,951
given,12,952
drop,12,953
materials,12,954
universe,12,955
reference,12,956
birth,12,957
"behold,",12,958
passionate,12,959
sisters,12,960
bay,12,961
continually,12,962
electric,12,963
lean,12,964
"leaves,",12,965
bed,12,966
millions,12,967
talk,12,968
myself.,12,969
brother,12,970
dying,12,971
sick,12,972
"lips,",12,973
wandering,12,974
falls,12,975
"arm,",12,976
works,12,977
"back,",12,978
stately,12,979
deeds,12,980
mean,12,981
whence,12,982
grand,12,983
merely,12,984
vain,12,985
floating,12,986
