Name of Restaurant,City,Country Code,Day of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
1 Abercrombie Lane,Sydney,AU,0,7,30,15,30
1 Abercrombie Lane,Sydney,AU,1,7,30,15,30
1 Abercrombie Lane,Sydney,AU,2,7,30,15,30
1 Abercrombie Lane,Sydney,AU,3,7,30,15,30
1 Abercrombie Lane,Sydney,AU,4,7,30,15,30
#1 Chicken Rice & Seafood,Houston,US,0,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,1,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,2,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,3,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,4,10,30,20,30
#1 Chicken Rice & Seafood,Houston,US,5,10,30,20,0
#1 Chinese Kitchen,San Jose,US,0,11,0,21,0
#1 Chinese Kitchen,San Jose,US,2,11,0,21,0
#1 Chinese Kitchen,San Jose,US,3,11,0,21,0
#1 Chinese Kitchen,San Jose,US,4,11,0,21,0
#1 Chinese Kitchen,San Jose,US,5,11,0,21,0
#1 Chinese Kitchen,San Jose,US,6,11,0,21,0
10' Custom Pizzeria,Braddon,AU,0,11,30,15,0
10' Custom Pizzeria,Braddon,AU,0,17,30,0,0
10' Custom Pizzeria,Braddon,AU,1,11,30,15,0
10' Custom Pizzeria,Braddon,AU,1,17,30,0,0
10' Custom Pizzeria,Braddon,AU,2,11,30,15,0
10' Custom Pizzeria,Braddon,AU,2,17,30,0,0
10' Custom Pizzeria,Braddon,AU,3,11,30,15,0
10' Custom Pizzeria,Braddon,AU,3,17,30,0,0
10' Custom Pizzeria,Braddon,AU,4,11,30,15,0
10' Custom Pizzeria,Braddon,AU,4,17,30,0,0
10' Custom Pizzeria,Braddon,AU,5,11,30,15,0
10' Custom Pizzeria,Braddon,AU,5,17,30,0,0
10' Custom Pizzeria,Braddon,AU,6,11,30,15,0
10' Custom Pizzeria,Braddon,AU,6,17,30,0,0
10 Greek Street,London,GB,0,12,0,23,30
10 Greek Street,London,GB,1,12,0,23,30
10 Greek Street,London,GB,2,12,0,23,30
10 Greek Street,London,GB,3,12,0,23,30
10 Greek Street,London,GB,4,12,0,23,30
10 Greek Street,London,GB,5,12,0,23,30
10 Greek Street,London,GB,6,17,30,23,0
100% de Agave,Denver,US,0,11,0,22,0
100% de Agave,Denver,US,1,11,0,22,0
100% de Agave,Denver,US,2,11,0,22,0
100% de Agave,Denver,US,3,11,0,22,0
100% de Agave,Denver,US,4,11,0,23,0
100% de Agave,Denver,US,5,11,0,23,0
100% de Agave,Denver,US,6,11,0,22,0
100 Hoxton,London,GB,1,11,0,0,0
100 Hoxton,London,GB,2,11,0,0,0
100 Hoxton,London,GB,3,11,0,0,0
100 Hoxton,London,GB,4,11,0,0,0
100 Hoxton,London,GB,5,11,0,0,0
100 Hoxton,London,GB,6,11,0,0,0
11 Inch Pizza,Melbourne,AU,0,11,0,21,30
11 Inch Pizza,Melbourne,AU,1,11,0,21,30
11 Inch Pizza,Melbourne,AU,2,11,0,21,30
11 Inch Pizza,Melbourne,AU,3,11,0,21,30
11 Inch Pizza,Melbourne,AU,4,11,0,21,30
11 Inch Pizza,Melbourne,AU,5,16,30,21,30
11 Inch Pizza,Melbourne,AU,6,16,30,21,30
111 by Nico,Glasgow,GB,1,12,0,14,30
111 by Nico,Glasgow,GB,1,17,0,22,0
111 by Nico,Glasgow,GB,2,12,0,14,30
111 by Nico,Glasgow,GB,2,17,0,22,0
111 by Nico,Glasgow,GB,3,12,0,14,30
111 by Nico,Glasgow,GB,3,17,0,22,0
111 by Nico,Glasgow,GB,4,12,0,14,30
111 by Nico,Glasgow,GB,4,17,0,22,0
111 by Nico,Glasgow,GB,5,12,0,22,0
111 by Nico,Glasgow,GB,6,12,0,21,0
127 Bar and Bistro,Brisbane,AU,0,6,30,21,0
127 Bar and Bistro,Brisbane,AU,1,6,30,21,0
127 Bar and Bistro,Brisbane,AU,2,6,30,21,0
127 Bar and Bistro,Brisbane,AU,3,6,30,21,0
127 Bar and Bistro,Brisbane,AU,4,6,30,21,0
127 Bar and Bistro,Brisbane,AU,5,7,0,11,0
127 Bar and Bistro,Brisbane,AU,5,15,0,21,0
127 Bar and Bistro,Brisbane,AU,6,7,0,11,0
13 North Grille,Phoenix,US,0,11,0,21,0
13 North Grille,Phoenix,US,1,11,0,21,0
13 North Grille,Phoenix,US,2,11,0,21,0
13 North Grille,Phoenix,US,3,11,0,21,0
13 North Grille,Phoenix,US,4,11,0,22,0
13 North Grille,Phoenix,US,5,8,30,22,0
13 North Grille,Phoenix,US,6,8,30,21,0
13th Note,Glasgow,GB,0,12,0,0,0
13th Note,Glasgow,GB,1,12,0,0,0
13th Note,Glasgow,GB,2,12,0,0,0
13th Note,Glasgow,GB,3,12,0,0,0
13th Note,Glasgow,GB,4,12,0,0,0
13th Note,Glasgow,GB,5,12,0,0,0
13th Note,Glasgow,GB,6,12,0,0,0
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,0,8,0,22,0
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,1,8,0,22,0
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,2,8,0,22,0
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,3,8,0,22,0
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,4,8,0,22,0
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,5,8,0,22,0
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,6,8,0,22,0
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,0,7,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,1,7,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,2,7,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,3,7,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,4,7,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,5,7,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,6,7,30,19,30
1760,San Francisco,US,0,17,0,22,0
1760,San Francisco,US,1,17,0,22,0
1760,San Francisco,US,2,17,0,22,0
1760,San Francisco,US,3,17,0,22,0
1760,San Francisco,US,4,17,0,23,0
1760,San Francisco,US,5,11,0,14,30
1760,San Francisco,US,5,17,0,23,0
1760,San Francisco,US,6,11,0,14,30
1760,San Francisco,US,6,17,0,22,0
1806,Melbourne,AU,0,17,0,1,0
1806,Melbourne,AU,1,17,0,1,0
1806,Melbourne,AU,2,17,0,1,0
1806,Melbourne,AU,3,17,0,1,0
1806,Melbourne,AU,4,16,0,1,0
1806,Melbourne,AU,5,17,0,3,0
1806,Melbourne,AU,6,18,0,1,0
1907 Restaurant,Perth,AU,1,11,0,15,0
1907 Restaurant,Perth,AU,1,18,0,0,0
1907 Restaurant,Perth,AU,2,11,0,15,0
1907 Restaurant,Perth,AU,2,18,0,0,0
1907 Restaurant,Perth,AU,3,11,0,15,0
1907 Restaurant,Perth,AU,3,18,0,0,0
1907 Restaurant,Perth,AU,4,11,0,15,0
1907 Restaurant,Perth,AU,4,18,0,0,0
1907 Restaurant,Perth,AU,5,11,0,15,0
1907 Restaurant,Perth,AU,5,18,0,0,0
1912 Dining Bar,Sydney,AU,0,16,0,0,0
1912 Dining Bar,Sydney,AU,1,16,0,0,0
1912 Dining Bar,Sydney,AU,2,16,0,0,0
1912 Dining Bar,Sydney,AU,3,16,0,0,0
1912 Dining Bar,Sydney,AU,4,16,0,0,0
1912 Dining Bar,Sydney,AU,5,16,0,0,0
1917 American Bistro,Detroit,US,0,10,0,23,0
1917 American Bistro,Detroit,US,1,10,0,23,0
1917 American Bistro,Detroit,US,2,10,0,23,0
1917 American Bistro,Detroit,US,3,10,0,23,0
1917 American Bistro,Detroit,US,4,10,0,23,0
1917 American Bistro,Detroit,US,5,10,0,23,0
1917 American Bistro,Detroit,US,6,10,0,20,0
2 Amys Neapolitan Pizzeria,Washington,US,0,17,0,22,0
2 Amys Neapolitan Pizzeria,Washington,US,1,11,0,22,0
2 Amys Neapolitan Pizzeria,Washington,US,2,11,0,22,0
2 Amys Neapolitan Pizzeria,Washington,US,3,11,0,22,0
2 Amys Neapolitan Pizzeria,Washington,US,4,11,0,23,0
2 Amys Neapolitan Pizzeria,Washington,US,5,11,0,23,0
2 Amys Neapolitan Pizzeria,Washington,US,6,12,0,22,0
20 Spot,San Francisco,US,0,17,0,1,0
20 Spot,San Francisco,US,1,17,0,1,0
20 Spot,San Francisco,US,2,17,0,1,0
20 Spot,San Francisco,US,3,17,0,1,0
20 Spot,San Francisco,US,4,17,0,1,0
20 Spot,San Francisco,US,5,17,0,1,0
204 North Kitchen & Cocktails,Charlotte,US,0,11,0,0,0
204 North Kitchen & Cocktails,Charlotte,US,1,11,0,0,0
204 North Kitchen & Cocktails,Charlotte,US,2,11,0,2,0
204 North Kitchen & Cocktails,Charlotte,US,3,11,0,2,0
204 North Kitchen & Cocktails,Charlotte,US,4,11,0,2,0
204 North Kitchen & Cocktails,Charlotte,US,5,11,0,2,0
204 North Kitchen & Cocktails,Charlotte,US,6,11,0,0,0
20th Street Café,Denver,US,1,6,30,14,30
20th Street Café,Denver,US,2,6,30,14,30
20th Street Café,Denver,US,3,6,30,14,30
20th Street Café,Denver,US,4,6,30,14,30
20th Street Café,Denver,US,5,7,0,13,30
20th Street Café,Denver,US,6,7,0,13,30
21 Shanghai House,New York,US,0,11,0,21,30
21 Shanghai House,New York,US,1,11,0,21,30
21 Shanghai House,New York,US,2,11,0,21,30
21 Shanghai House,New York,US,3,11,0,21,30
21 Shanghai House,New York,US,4,11,0,22,0
21 Shanghai House,New York,US,5,11,0,22,0
21 Shanghai House,New York,US,6,11,0,21,30
24grille,Detroit,US,0,11,0,0,0
24grille,Detroit,US,1,11,0,0,0
24grille,Detroit,US,2,11,0,0,0
24grille,Detroit,US,3,11,0,0,0
24grille,Detroit,US,4,11,0,2,0
24grille,Detroit,US,5,11,0,2,0
24grille,Detroit,US,6,11,0,22,0
259 Cafe,Perth,AU,0,10,0,15,0
259 Cafe,Perth,AU,2,10,0,15,0
259 Cafe,Perth,AU,3,10,0,15,0
259 Cafe,Perth,AU,4,10,0,15,0
259 Cafe,Perth,AU,5,9,0,15,0
259 Cafe,Perth,AU,6,9,0,15,0
26 grains,London,GB,0,8,0,18,0
26 grains,London,GB,1,8,0,18,0
26 grains,London,GB,2,8,0,18,0
26 grains,London,GB,3,8,0,18,0
26 grains,London,GB,4,8,0,17,0
26 grains,London,GB,5,10,0,16,0
26 grains,London,GB,6,10,0,16,0
2nd City,New York,US,0,11,0,23,0
2nd City,New York,US,1,11,0,23,0
2nd City,New York,US,2,11,0,23,0
2nd City,New York,US,3,11,0,23,0
2nd City,New York,US,4,11,0,23,0
2nd City,New York,US,5,11,0,23,0
2nd City,New York,US,6,11,0,23,0
3 Arts Club Cafe,Chicago,US,0,10,0,20,0
3 Arts Club Cafe,Chicago,US,1,10,0,20,0
3 Arts Club Cafe,Chicago,US,2,10,0,20,0
3 Arts Club Cafe,Chicago,US,3,10,0,20,0
3 Arts Club Cafe,Chicago,US,4,10,0,20,0
3 Arts Club Cafe,Chicago,US,5,10,0,20,0
3 Arts Club Cafe,Chicago,US,6,11,0,18,0
3 Bro's Kabab House,Houston,US,0,11,0,22,0
3 Bro's Kabab House,Houston,US,1,11,0,22,0
3 Bro's Kabab House,Houston,US,2,11,0,22,0
3 Bro's Kabab House,Houston,US,3,11,0,22,0
3 Bro's Kabab House,Houston,US,4,14,0,22,0
3 Bro's Kabab House,Houston,US,5,11,0,22,0
3 Bro's Kabab House,Houston,US,6,11,0,22,0
3 Greeks Grill,Long Island City,US,0,11,0,22,0
3 Greeks Grill,Long Island City,US,1,11,0,22,0
3 Greeks Grill,Long Island City,US,2,11,0,22,0
3 Greeks Grill,Long Island City,US,3,11,0,22,0
3 Greeks Grill,Long Island City,US,4,11,0,22,0
3 Greeks Grill,Long Island City,US,5,11,0,22,0
3 Greeks Grill,Long Island City,US,6,11,0,21,0
3 Wise Monkeys Pub,Sydney,AU,0,10,0,4,0
3 Wise Monkeys Pub,Sydney,AU,1,10,0,4,0
3 Wise Monkeys Pub,Sydney,AU,2,10,0,4,0
3 Wise Monkeys Pub,Sydney,AU,3,10,0,4,0
3 Wise Monkeys Pub,Sydney,AU,4,10,0,5,0
3 Wise Monkeys Pub,Sydney,AU,5,10,0,5,0
3 Wise Monkeys Pub,Sydney,AU,6,10,0,4,0
32 Shea,Phoenix,US,0,6,0,22,0
32 Shea,Phoenix,US,1,6,0,22,0
32 Shea,Phoenix,US,2,6,0,22,0
32 Shea,Phoenix,US,3,6,0,22,0
32 Shea,Phoenix,US,4,6,0,22,0
32 Shea,Phoenix,US,5,7,0,22,0
32 Shea,Phoenix,US,6,7,0,14,0
360 Bar and Restaurant,Sydney,AU,0,12,0,14,30
360 Bar and Restaurant,Sydney,AU,0,16,30,23,0
360 Bar and Restaurant,Sydney,AU,1,12,0,14,30
360 Bar and Restaurant,Sydney,AU,1,16,30,23,0
360 Bar and Restaurant,Sydney,AU,2,12,0,14,30
360 Bar and Restaurant,Sydney,AU,2,16,30,23,0
360 Bar and Restaurant,Sydney,AU,3,12,0,14,30
360 Bar and Restaurant,Sydney,AU,3,16,30,23,0
360 Bar and Restaurant,Sydney,AU,4,12,0,14,30
360 Bar and Restaurant,Sydney,AU,4,16,30,0,0
360 Bar and Restaurant,Sydney,AU,5,16,30,0,0
360 Bar and Restaurant,Sydney,AU,6,16,30,0,0
38 Espresso,Kingston,AU,0,7,0,15,0
38 Espresso,Kingston,AU,1,7,0,15,0
38 Espresso,Kingston,AU,2,7,0,15,0
38 Espresso,Kingston,AU,3,7,0,15,0
38 Espresso,Kingston,AU,4,7,0,15,0
38 Espresso,Kingston,AU,5,7,0,15,0
38 Espresso,Kingston,AU,6,8,0,15,0
+39 Pizzeria,Melbourne,AU,0,12,0,15,0
+39 Pizzeria,Melbourne,AU,0,17,0,21,30
+39 Pizzeria,Melbourne,AU,1,12,0,15,0
+39 Pizzeria,Melbourne,AU,1,17,0,21,30
+39 Pizzeria,Melbourne,AU,2,12,0,15,0
+39 Pizzeria,Melbourne,AU,2,17,0,21,30
+39 Pizzeria,Melbourne,AU,3,12,0,15,0
+39 Pizzeria,Melbourne,AU,3,17,0,21,30
+39 Pizzeria,Melbourne,AU,4,12,0,22,0
+39 Pizzeria,Melbourne,AU,5,12,0,22,0
+39 Pizzeria,Melbourne,AU,6,12,0,21,30
3rd Cousin,San Francisco,US,1,17,30,22,0
3rd Cousin,San Francisco,US,2,17,30,22,0
3rd Cousin,San Francisco,US,3,17,30,22,0
3rd Cousin,San Francisco,US,4,17,30,22,0
3rd Cousin,San Francisco,US,5,17,30,22,0
45 Jermyn St,London,GB,0,7,0,23,30
45 Jermyn St,London,GB,1,7,0,23,30
45 Jermyn St,London,GB,2,7,0,23,30
45 Jermyn St,London,GB,3,7,0,23,30
45 Jermyn St,London,GB,4,7,0,23,30
45 Jermyn St,London,GB,5,8,0,23,30
45 Jermyn St,London,GB,6,8,0,18,0
4Fourteen,Surry Hills,AU,1,12,0,15,0
4Fourteen,Surry Hills,AU,1,18,0,0,0
4Fourteen,Surry Hills,AU,2,12,0,15,0
4Fourteen,Surry Hills,AU,2,18,0,0,0
4Fourteen,Surry Hills,AU,3,12,0,15,0
4Fourteen,Surry Hills,AU,3,18,0,0,0
4Fourteen,Surry Hills,AU,4,12,0,15,0
4Fourteen,Surry Hills,AU,4,18,0,0,0
4Fourteen,Surry Hills,AU,5,12,0,15,0
4Fourteen,Surry Hills,AU,5,18,0,0,0
4Fourteen,Surry Hills,AU,6,12,0,18,0
5 & Dime Bagels,Melbourne,AU,0,7,0,14,30
5 & Dime Bagels,Melbourne,AU,1,7,0,14,30
5 & Dime Bagels,Melbourne,AU,2,7,0,14,30
5 & Dime Bagels,Melbourne,AU,3,7,0,14,30
5 & Dime Bagels,Melbourne,AU,4,7,0,14,30
5 Boroughs,Brisbane,AU,0,11,0,21,0
5 Boroughs,Brisbane,AU,1,11,0,21,0
5 Boroughs,Brisbane,AU,2,11,0,21,0
5 Boroughs,Brisbane,AU,3,11,0,21,0
5 Boroughs,Brisbane,AU,4,11,0,22,0
5 Boroughs,Brisbane,AU,5,11,0,22,0
5 Boroughs,Brisbane,AU,6,11,0,21,0
5 Rabanitos Restaurante and Taqueria,Chicago,US,1,11,0,21,0
5 Rabanitos Restaurante and Taqueria,Chicago,US,2,11,0,21,0
5 Rabanitos Restaurante and Taqueria,Chicago,US,3,11,0,21,0
5 Rabanitos Restaurante and Taqueria,Chicago,US,4,11,0,22,0
5 Rabanitos Restaurante and Taqueria,Chicago,US,5,9,0,22,0
5 Rabanitos Restaurante and Taqueria,Chicago,US,6,9,0,21,0
5 Spices House,Boston,US,0,11,0,23,0
5 Spices House,Boston,US,1,11,0,23,0
5 Spices House,Boston,US,2,11,0,23,0
5 Spices House,Boston,US,3,11,0,23,0
5 Spices House,Boston,US,4,11,0,0,0
5 Spices House,Boston,US,5,11,0,0,0
5 Spices House,Boston,US,6,11,0,0,0
5 Spot,Seattle,US,0,8,0,23,0
5 Spot,Seattle,US,1,8,0,23,0
5 Spot,Seattle,US,2,8,0,23,0
5 Spot,Seattle,US,3,8,0,23,0
5 Spot,Seattle,US,4,8,0,23,0
5 Spot,Seattle,US,5,8,0,15,0
5 Spot,Seattle,US,5,17,0,0,0
5 Spot,Seattle,US,6,8,0,15,0
5 Spot,Seattle,US,6,17,0,0,0
500 Degrees New York Style Pizzeria,Charlotte,US,0,11,0,21,0
500 Degrees New York Style Pizzeria,Charlotte,US,1,11,0,21,0
500 Degrees New York Style Pizzeria,Charlotte,US,2,11,0,21,0
500 Degrees New York Style Pizzeria,Charlotte,US,3,11,0,21,0
500 Degrees New York Style Pizzeria,Charlotte,US,4,11,0,23,0
500 Degrees New York Style Pizzeria,Charlotte,US,5,11,0,22,0
50's Diner Omelet House,Las Vegas,US,0,7,0,21,0
50's Diner Omelet House,Las Vegas,US,1,7,0,21,0
50's Diner Omelet House,Las Vegas,US,2,7,0,21,0
50's Diner Omelet House,Las Vegas,US,3,7,0,21,0
50's Diner Omelet House,Las Vegas,US,4,7,0,21,0
50's Diner Omelet House,Las Vegas,US,5,7,0,21,0
50's Diner Omelet House,Las Vegas,US,6,7,0,15,0
