,university_name,score_cwur,score_shanghai,score_times,mean_score
184,Harvard University,9.184014692467615,5.038544976213031,4.299895819326531,6.174151829335725
511,Stanford University,8.373695310724994,2.9586628964384722,2.9128317171231592,4.748396641428875
312,Massachusetts Institute of Technology,8.294429618943688,2.7786529747404396,2.801524103983384,4.624868899222504
637,University of Cambridge,7.928687378061453,2.7737689846168494,2.326326217117413,4.342927526598572
819,University of Oxford,7.842098225626434,1.7285950981685814,2.6174384360983676,4.062710586631128
627,University of California Berkeley,6.974483534063633,2.858889955342276,1.9752791295227319,3.9362175396428802
53,California Institute of Technology,6.284785857205614,2.288858536631839,3.182538625884926,3.918727673240793
432,Princeton University,6.713423701349105,2.0090756738376094,2.5018497609147525,3.741449712033822
96,Columbia University,7.487556571626342,2.04256589182794,1.0976614105360303,3.542594624663438
648,University of Chicago,6.414454189956556,1.79278468265005,1.6841669105417774,3.2971352610494606
999,Yale University,6.284355065402453,1.6064953450788302,1.761226027330854,3.2173588126040458
100,Cornell University,5.8785491868264055,1.3839249380180842,1.0034780455716037,2.7553173901386976
828,University of Pennsylvania,5.211252683732667,1.1334460159653954,0.9649484871770653,2.4365490622917094
630,University of California Los Angeles,4.322529193815058,1.3490392942781555,1.547172925138975,2.4062471377440624
907,University of Tokyo,5.073830098524857,0.8055209648100635,0.6096203375385477,2.162990466957823
522,Swiss Federal Institute of Technology in Zurich,3.617753803846465,0.6464424293559882,,2.1320981166012265
980,Waseda University,2.020808589534986,,,2.020808589534986
242,Johns Hopkins University,3.8141948660871003,0.9171550247778358,1.1918447755004569,1.974398222121798
207,Imperial College London,1.9785909928253762,,1.8511283302514427,1.9148596615384095
798,University of New South Wales,0.44928009160990623,,3.2638788047178404,1.8565794481638733
938,University of Washington  Seattle,1.8144593158216877,,,1.8144593158216877
634,University of California San Francisco,2.5554212172556614,0.9220390149014264,,1.738730116078544
779,University of Montreal,0.43980267194040074,,2.9128317171231592,1.67631719453178
762,University of Michigan Ann Arbor,2.5549904254525027,0.738075386912868,,1.6465329061826854
257,Keio University,1.529131544862521,,,1.529131544862521
879,University of St Andrews,-0.117641921347717,,3.0669499507013125,1.4746540146767977
633,University of California San Diego,3.203762881010387,1.2004264519460583,-0.03253896903708757,1.4572167879731193
918,University of Tbingen,0.3570906457338193,,2.553222505440804,1.4551565755873117
275,Kyoto University,3.8865678890178583,0.588532260747706,-0.4435209252454945,1.34385974150669
944,University of WisconsinMadison,2.6738889631244653,0.889246509785893,0.1558277608917651,1.2396544112673744
1020,cole normale suprieure  Paris,1.228151671721897,,,1.228151671721897
186,Hebrew University of Jerusalem,2.860421813892436,-0.421058269085835,,1.2196817724033007
462,Rutgers UniversityNew Brunswick,1.163532901248004,,,1.163532901248004
899,University of Texas Southwestern Medical Center,1.162240525838526,,,1.162240525838526
571,University College London,2.0557027255908884,0.7120274395870547,0.6695552061522734,1.1457617904434054
