Organization_Group,Department,Total_Compensation
Community Health,Public Health,96190.19014
Culture & Recreation,Academy of Sciences,107319.7277
Culture & Recreation,Arts Commission,94339.59739
Culture & Recreation,Asian Art Museum,71401.52006
Culture & Recreation,Fine Arts Museum,44205.43989
Culture & Recreation,Law Library,188424.3622
Culture & Recreation,Public Library,70446.35215
Culture & Recreation,Recreation and Park Commission,38912.85947
Culture & Recreation,War Memorial,76250.06802
General Administration & Finance,Assessor/Recorder,89994.26061
General Administration & Finance,Board of Supervisors,78801.34764
General Administration & Finance,City Attorney,166082.6776
General Administration & Finance,City Planning,89022.87697
General Administration & Finance,Civil Service Commission,67966.75656
General Administration & Finance,Controller,104515.2349
General Administration & Finance,Elections,20493.16662
General Administration & Finance,Ethics Commission,98631.38037
General Administration & Finance,General Services Agency - City Admin,86123.54761
General Administration & Finance,General Services Agency - Technology,110783.6802
General Administration & Finance,Health Service System,70016.07114
General Administration & Finance,Human Resources,69729.72274
General Administration & Finance,Mayor,110765.3913
General Administration & Finance,Retirement System,117717.6586
General Administration & Finance,Treasurer/Tax Collector,85449.25317
General City Responsibilities,General Fund Unallocated,15824.1513
Human Welfare & Neighborhood Development,Child Support Services,100044.071
Human Welfare & Neighborhood Development,Children and Families Commission,96575.36619
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.93328
Human Welfare & Neighborhood Development,Community Investment & Infrastructure,42864.05654
Human Welfare & Neighborhood Development,Department of the Status of Women,47968.5229
Human Welfare & Neighborhood Development,Environment,75360.38745
Human Welfare & Neighborhood Development,Homelessness and Supportive Housing,40771.13028
Human Welfare & Neighborhood Development,Human Rights Commission,55672.50668
Human Welfare & Neighborhood Development,Human Services,65945.32769
Human Welfare & Neighborhood Development,Rent Arbitration Board,102181.7939
Public Protection,Adult Probation,100179.7588
Public Protection,Department of Emergency Management,127421.7528
Public Protection,District Attorney,141215.3786
Public Protection,Fire Department,180788.087
Public Protection,Juvenile Probation,78586.82982
Public Protection,Police,141263.7017
Public Protection,Public Defender,147552.1857
Public Protection,Sheriff,140381.5905
Public Protection,Superior Court,99315.44936
"Public Works, Transportation & Commerce",Airport Commission,96191.57823
"Public Works, Transportation & Commerce",Board of Appeals,51990.63489
"Public Works, Transportation & Commerce",Department of Building Inspection,112051.6152
"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.4094
"Public Works, Transportation & Commerce",General Services Agency - Public Works,89741.68257
"Public Works, Transportation & Commerce",Municipal Transportation Agency,99471.11182
"Public Works, Transportation & Commerce",PUC Clean Power,30940.465
"Public Works, Transportation & Commerce",PUC Hetch Hetchy,105280.8153
"Public Works, Transportation & Commerce",PUC Public Utilities Commission,103433.5855
"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,108963.5898
"Public Works, Transportation & Commerce",PUC Water Department,109806.5876
"Public Works, Transportation & Commerce",Port,112139.68
